тема,пара,передний (сейчас),фон (сейчас),контраст сейчас,проходит сейчас,передний (цель),фон (цель),контраст цель,проходит цель,порог,правило,примечание
светлая,основной текст / фон окна,#2A2722,#FFFFFF,14.88,да,#232529,#F8F8F9,14.46,да,>= 4.5:1,C-2c,
светлая,основной текст / поверхность (secondaryBackground),#2A2722,#F1EFEA,12.94,да,#232529,#ECEDEF,13.10,да,>= 4.5:1,C-2c,
светлая,основной текст / поверхность белая (А-8),#2A2722,#FFFFFF,14.88,да,#232529,#FFFFFF,15.35,да,>= 4.5:1,C-2c,
светлая,"приглушённый текст (grayTextColor, .stCaption) / фон окна",#57534A,#FFFFFF,7.66,да,#4B4F56,#F8F8F9,7.75,да,>= 4.5:1,C-2c,
светлая,приглушённый текст / поверхность,#57534A,#F1EFEA,6.67,да,#4B4F56,#ECEDEF,7.02,да,>= 4.5:1,C-2c,
светлая,приглушённый текст / поверхность белая,#57534A,#FFFFFF,7.66,да,#4B4F56,#FFFFFF,8.23,да,>= 4.5:1,C-2c,
светлая,grayColor (знак нейтр.) / grayBackground,#8A857A,#F1EFEA,3.20,да,#79808B,#ECEDEF,3.40,да,>= 3:1,C-2c,
светлая,palette muted (линии коннод) / фон области,#8A857A,#FFFFFF,3.67,да,#79808B,#FFFFFF,3.98,да,>= 3:1,C-2c/G-1,"в коде ещё alpha 0,7–0,75"
светлая,ссылка / фон окна,#133B8B,#FFFFFF,10.36,да,#133B8B,#F8F8F9,9.77,да,>= 4.5:1,C-2c,
светлая,"акцент primary / фон окна (граница, иконка)",#1F60C1,#FFFFFF,6.00,да,#1F60C1,#F8F8F9,5.65,да,>= 3:1,C-2c,
светлая,белый текст / primary (кнопка primary),#FFFFFF,#1F60C1,6.00,да,#FFFFFF,#1F60C1,6.00,да,>= 4.5:1,C-2c,
светлая,borderColor / фон окна (рамка поверхности),#D8D4CC,#FFFFFF,1.48,да,#CFD1D5,#F8F8F9,1.44,да,>= 1.0:1,А-8,рамка поверхности декоративна; порог 3:1 — только для границы контрола
светлая,граница контрола / фон окна,#D8D4CC,#FFFFFF,1.48,НЕТ,#79808B,#F8F8F9,3.75,да,>= 3:1,C-2c,"сейчас showWidgetBorder=false, граница контрола = borderColor"
светлая,заливка поля ввода (secondaryBackground) / фон окна — единственная граница поля при showWidgetBorder=false,#F1EFEA,#FFFFFF,1.15,НЕТ,#79808B,#F8F8F9,3.75,да,>= 3:1,C-2c,цель — рамка поля #79808B (нейтраль 500) при showWidgetBorder=true
тёмная,заливка поля ввода (secondaryBackground) / фон окна при showWidgetBorder=false,#24211D,#1A1816,1.10,НЕТ,#8A92A0,#17181B,5.66,да,>= 3:1,C-2c,"цель — рамка поля; тёмная граница контрола нормой не задана, взят приглушённый #8A92A0"
