Параметр,Значение
База,Никелевые сплавы — mc_ni 2.036
Файл базы,C:\Users\gareg\Desktop\ThermoGar-w15a\databases\converted\mc_ni_v2036_with_mobility.garcalc.tdb
SHA-256 базы,1882d841a337063e0585d261c690ae7e565838234e231e21b8541a5cb0dba391
Kawin,0.5.0
pycalphad,0.11.2
Класс термодинамики Kawin,MulticomponentThermodynamics
Состав,"NI=54.2, CR=17.9, NB=5.3, MO=2.99, TI=0.97, AL=0.5"
Единицы исходного состава,массовые %
Элемент-основа,FE
Температурный режим,изотермический
Элементы,"FE, AL, CR, MO, NB, NI, TI"
Матрица,FCC_A1
Роль матрицы в order/disorder-модели,independent
Фаза-выделение,GAMMA_DP
"Межфазная энергия, Дж/м²",0.112
"Молярный объём матрицы, см³/моль",7.145624374
"Молярный объём выделения, см³/моль",7.3
Центры зарождения,BULK
"Bulk N0, 1/м³",8.427732056e+28
"Размер зерна, мкм",100
"Плотность дислокаций, 1/м²",5e+12
"Энергия границы зерна, Дж/м²",0.3
"Минимальный радиус, нм",0.1
"Максимальный радиус, нм",50
Классов размеров,800
Источник физических входов,"WAVE15_V: состав и межфазная энергия — Devaux и др., Mater. Sci. Eng. A 486 (2008) 117 (измерена); Vm(GAMMA_DP) измерен там же, переведён на моль атомов делением на 4; Vm(FCC_A1) — physical_data_v103.pdb на равновесном составе матрицы; N0 = N_A/Vm(FCC_A1)"
Правки базы ThermoGar,"Подвижность ниобия в FCC_A1: в базе записано LN(1,00E-4) с десятичной запятой, ThermoGar читает это как ln(1.00E-4). Правка сделана поверх разобранной базы, байты файла не менялись; число взято из той же строки, первоисточник строки (pov10) не опубликован и не сверен."
Класс расчёта,"исследовательский сценарий, не прогноз материала"
