файл,строка,достижимо,вызов,уровень,откуда текст,текст/выражение (начало),уровень по F-3 соответствует,по F-3 должно быть / замечание,"W-1/А-7 (жаргон, строка движка)"
app/ThermoGar_app.py,269,да,st.error,error,литерал,"""Запуск остановлен fail-closed: встроенный экспорт таблиц/графиков "" ""не отключён. Запускайте ThermoGar из корня проекта, где находится "" "".streamlit/config.toml.""",да,,"жаргон: «fail-closed», «.streamlit/config.toml», «экспорт таблиц/графиков» (W-1)"
app/ThermoGar_app.py,1573,да,st.success,success,литерал,"""Запись добавлена в историю расчётов.""",да,,
app/ThermoGar_app.py,1599,да,st.error,error,переменная: too_cold,too_cold,да,"ошибка: ввод ниже границы базы, расчёт не запускается",
app/ThermoGar_app.py,1658,да,render_friendly_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/ThermoGar_app.py,1703,да,st.info,info,литерал (склейка),"""Плотность сплава не рассчитана: покрытие физической базы "" f'{projection[""mass_coverage_pct""]:.2f} % по массе, ' ""то есть плотность есть не у всех равновесных фаз."" + ( f"" Без данных остались: {missing_names}."" if missi",нет,ошибка: плотность сплава не рассчитана (намерение не выполнено); сейчас info,
app/ThermoGar_app.py,1715,да,st.warning,warning,переменная: warning_text,warning_text,спорно,текст из projection['warnings'] — поправки проекта; предупреждение уместно,источник текста — модуль verified_physical (проверить снимком)
app/ThermoGar_app.py,1760,да,st.error,error,переменная: too_cold,too_cold,да,ошибка: ввод ниже границы базы,
app/ThermoGar_app.py,1879,да,render_friendly_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
app/ThermoGar_app.py,1901,да,st.warning,warning,переменная: warning_text,warning_text,спорно,то же,то же
app/ThermoGar_app.py,1961,да,render_friendly_error,error,render_user_error: заголовок/подсказка из _friendly_error_text; str(exception) в части ветвей,error,да,ошибка: расчёт не выполнен,"текст из _friendly_error_text; в ветвях ValueError/«не завершил» и 7 предметных ветвях подсказка = str(exception) (W-1, А-7); в «Технических сведениях» — имя класса исключения"
