Параметр,Значение
База,Никелевые сплавы — mc_ni 2.036
Файл базы,D:\Pets\ThermoGar\databases\converted\mc_ni_v2036_with_mobility.garcalc.tdb
Профиль Fe-базы,не применяется
Исключённые из расчёта фазы,нет
Основа,NI
Единицы ввода,массовые %
Добавки,"CR=15.0, FE=8.0"
"Давление модуля, Па",101325.0
"Начальная температура, °C",1800.0
"Шаг охлаждения, °C",10.0
"Порог появления фазы, %",0.01
"Scheil: критерий остатка, %",0.01
Режим фаз,Автоматически
Набор фаз,Набор фаз: все фазы базы (18)
Выбранные фазы,"ALPHA_MN, BCC_B2, BETA_MN, CHI_A12, DELTA, ETA, FCC_A1, GAMMA_DP, GAMMA_PRIME, HCP_A3, LAVES, LAV_C14, LIQUID, NI2CR, NIAL, NITI2, SIGMA, TIB2"
Плотность поиска,50
Адаптивное уточнение,да
Критерий солидуса,scheil
