номер;суть;состояние (дословно, реестр на 976e707);реестр:строка;мешает ли выпуску 0.5.0
BL-3;"паспорт Fe-базы с подвижностями: thermodynamic_phase_count 136 вместо 132; перегенерация и переподпись закреплённых хэшей";открыт, решение мастера принято: не переподписывать сейчас.;tasks/REGISTER.md:263;"нет: решение мастера — не переподписывать сейчас; расхождение было во всех выпусках с 0.3.x, на расчёт не влияет (реестр :263)"
BL-5;"дуплексная сталь с исключением C15_LAVES и без; цена патча";"открыт; не дефект, а направление дорожной карты; в 0.4.2 не входит.";tasks/REGISTER.md:265;нет: не дефект, направление дорожной карты (реестр :265)
BL-6;всеядный загрузчик баз: паспорт с лицензией, автовывод пресета фаз;"открыт; не дефект, а направление дорожной карты; в 0.4.2 не входит.";tasks/REGISTER.md:266;нет: не дефект, направление дорожной карты (реестр :266)
BL-23;KWN волны 12: огрубление замирает в двух случаях у порога (число выделений, радиус);заведён волной 12-1, причина не установлена.;tasks/REGISTER.md:283;"нет: исследование волны 12, на долю P-фазы и выводы не влияет (реестр :283); выпуск 0.4.4 шёл с ним"
BL-25;номер выдан, содержание утеряно;"номер выдан, содержание утеряно; не используется";tasks/REGISTER.md:285;нет: пункта нет
BL-28;эталон KWN Ni: 97 строк в волне 1C против 246 сейчас;заведён волной 13-Ф, причина не выяснена.;tasks/REGISTER.md:288;"нет: вопрос к истории эталона; tools/backend_reference.md:236 держит 246, сверка 19-Д проходит (реестр :288)"
BL-33;"дефект: при объёмном зарождении с r* < Rmin расчёт выделений не заканчивается (шаг решателя до 1e-7 с); отклоняется эмпирическим порогом BL-32";заведён волной 14-Г по решению мастера, не разбирался.;tasks/REGISTER.md:293;"нет: был в 0.4.2–0.4.4, входы отклоняются порогом u ≥ 1,5 (app/thermogar_precipitation.py:882–898 на 976e707); потолка времени на solve нет — кандидат в следующий выпуск, не регресс (реестр :293)"
BL-36;чем описание γ и γ′ в mc_ni 2.036 отличается от опубликованных аттестаций;"заведён волной 15-Г по решению мастера; в очередь не ставится.";tasks/REGISTER.md:296;"нет: вопрос о базе, в программе ничего не меняет; в очередь не ставится (реестр :296)"
BL-41;умолчание DP(фаза,*) для растворённых элементов в прямых DP-моделях: Zr, Hf, Y получают плотность матрицы;"открыт, заведён 15-Э; в 0.4.2 не входит — семантика базы, не дефект кода; решение о перекрытии — за мастером после оценки.";tasks/REGISTER.md:301;"нет: семантика базы, не дефект кода; решение о перекрытии — за мастером (реестр :301)"
BL-42;"конвертер mc_fe снял токен «273» в G(PDMN_B2,…); чтение MatCalc не установлено";открыт, ждёт апстрима (`tasks/SOURCES_WANTED.md`, S-8).;tasks/REGISTER.md:302;"нет: ждёт апстрима (S-8); касается только систем с Pd и Mn (реестр :302)"
BL-43;остановка BL-35 на ячейке Fe (BCC_A2/M23C6, 700 °C): численный перелёт через растворимость C;закрывается 21-О (сдано, мастер не смотрел).;tasks/REGISTER.md:303;"да: код в main (22-Б a68a417, 21-О a6df161), но в реестре «закрывается 21-О (сдано, мастер не смотрел)»; до выпуска — приёмка 21-О и запись «закрыт». Пункт CHANGELOG про числа «Выделений» стоит на нём"
