№;сценарий;файл:строка;действие;подпись, значение;кадр;оценка;ломается;пояснение по коду wave21-m и списку 21-О
1;start;tools/make_guide_screens.py:471;снять кадр;вкладка «Расчёты» (role=tab);start-01.png;е;;Вкладки верхнего уровня — st.tabs (app/ThermoGar_app.py:7472). «Одна температура» 21-М не сворачивала, кнопка на своём месте (21-М ШАГ 8: низ 593 px), подписи «Не по умолчанию» нет.
2;start;tools/make_guide_screens.py:475;снять кадр;«База материалов» (боковая панель);start-02.png;е;;Боковую панель 21-И, 21-М, 21-О не меняли (app/ThermoGar_app.py:7120).
3;start;tools/make_guide_screens.py:479;снять кадр;«Элемент-основа»;start-03.png;е;;app/ThermoGar_app.py:7310.
4;start;tools/make_guide_screens.py:483;снять кадр;«Единицы состава»;start-04.png;е;;app/ThermoGar_app.py:7323.
5;start;tools/make_guide_screens.py:487;set_text_area;«Добавки» = C=0.2, CR=11.5, NI=0.7;;е;;app/ThermoGar_app.py:7335.
6;start;tools/make_guide_screens.py:489;снять кадр;«Добавки»;start-05.png;е;;
7;start;tools/make_guide_screens.py:493;снять кадр;«Параллельный расчёт»;start-06.png;е;;app/thermogar_parallel_ui.py:169.
8;start;tools/make_guide_screens.py:497;set_number;«Температура, °C» = 700 (основная область);;е;;Поле на виду (app/ThermoGar_app.py:7504), умолчание стали 700 — как и раньше.
9;start;tools/make_guide_screens.py:499;снять кадр;«Температура, °C» на «Одной температуре»;start-07.png;е;;Экран без свёртки 21-М, строка кнопки tg_action_single на своём месте.
10;raschety;tools/make_guide_screens.py:509;open_tab;«Расчёты»;;е;;Вкладка.
11;raschety;tools/make_guide_screens.py:510;open_tab;«Одна температура»;;е;;Вкладка (st.tabs, app/ThermoGar_app.py:7485).
12;raschety;tools/make_guide_screens.py:513;снять кадр;вкладка «Расчёты»;raschety-01.png;е;;Как шаг 9.
13;raschety;tools/make_guide_screens.py:517–518;снять кадр;кнопка «Рассчитать равновесие»;raschety-02.png;е;;Кнопка в строке tg_action_single (app/ThermoGar_app.py:7581), на своём месте, подписи нет (умолчания). Кольцо фокуса 14Б — только :focus-visible, щелчок мышью Playwright его не даёт.
14;raschety;tools/make_guide_screens.py:519–521;click и ждать текст;«Рассчитать равновесие», «Фазовые доли»;;е;;Заголовок «#### Фазовые доли» на месте (app/ThermoGar_app.py:7746).
15;raschety;tools/make_guide_screens.py:522;снять кадр;таблица фаз (первый stDataFrame);raschety-03.png;е;;Результат вне строки кнопки, раскладка экрана не менялась.
16;raschety;tools/make_guide_screens.py:528;open_expander;«Управление фазами / метастабильный расчёт»;;е;;Название = BLOCK_PHASES (app/thermogar_release_ui.py:52), блок был и до 21-М.
17;raschety;tools/make_guide_screens.py:529;снять кадр;«Набор фаз» и строка «Набор фаз:»;raschety-04.png;е;;Подпись «Не по умолчанию» не появится: «Быстрый набор / Все фазы базы» не трогается.
18;raschety;tools/make_guide_screens.py:538;open_tab;«Температурный диапазон»;;е;;Вкладка.
