№;файл:строка;экран (раздел → вкладка / вид);таблица, столбцы;редактируемая;столбцы с возможной пустой ячейкой;когда пусто и чем (по коду);обработка показа сейчас;серое «None» на экране возможно;пример (кадр / тест) или «по коду»
1;app/ThermoGar_app.py:1858;Свойства → Плотность, «Плотность при одной температуре»;Параметры расчёта: «Параметр», «Значение»;нет;нет;все значения — f-строки или непустые строки (1839–1857);нет (значения уже текст);нет;docs/guide/img/svoystva-02.png — пустых нет
2;app/ThermoGar_app.py:1886;Свойства → Плотность, «Плотность при одной температуре»;Фазы с плотностью и долями: «Фаза», «Мольная доля, %», «Массовая доля, %», «Объёмная доля, %», «Объёмная доля среди покрытых, %», «Плотность фазы, кг/м³», «Плотность фазы, г/см³», «Молярный объём…», «Средняя молярная масса…», «Модель плотности», «Статус данных», «Примечание», «Диагностика»;нет;«Объёмная доля, %», «…среди покрытых, %», «Плотность фазы» (2 столбца), «Молярный объём», «Модель плотности», «Диагностика»;"«Объёмная доля, %» None во всех строках при неполном покрытии (столбец object None); плотность и объём None у фазы без модели (рядом с числами NaN); NaN/inf из движка → None через _plain_cell (verified_physical.py:230–245); «Модель плотности», «Диагностика» — """" (physical.py:1511–1569)";element_columns_for_display;да — None (рядом с числами NaN);"results/wave21_l/10b/S12_al_umolch.png — «Диагностика» и «Модель плотности» пусты (""""), «Объёмная доля среди…» обрезана краем; docs/guide/img/svoystva-02.png — «Диагностика» и «Объёмная доля среди…» пусты (кадр снят на 0.3.1/0.4.2, «None» нет)"
3;app/ThermoGar_app.py:1888;Свойства → Плотность (если есть фазы без данных PDB);Фазы без данных PDB: «Фаза», «Мольная доля, %», «Массовая доля, %», «Причина», «Диагностика»;нет;«Диагностика», теоретически «Массовая доля, %»;""""" в «Диагностика» без предупреждений; «Массовая доля» None только при total_mass ≤ 0 (physical.py:1572–1581)";element_columns_for_display;"редко — None при total_mass ≤ 0; иначе только """"";по коду
4;app/ThermoGar_app.py:2078;Свойства → Плотность по T;«Температура, K», «Плотность сплава, кг/м³», «Покрытие фаз, мол.%», «Качество»;нет;«Плотность сплава, кг/м³»;None в точках с неполным покрытием или несошедшимся равновесием (рядом с числами NaN, во всех точках — object None) (physical.py:1636, 1691);нет;да — None / NaN;"results/wave21_l/10b/S13_fe_K2.png; results/wave21_m/kadry/umolch_plotnost_t_al_svet.png, umolch_plotnost_t_fe_svet.png — пустых нет"
5;app/ThermoGar_app.py:2145;Свойства → Покрытие физической базы, «Проверить чтение физической базы»;Самопроверка PDB: «Проверка», «Фаза», «Плотность, кг/м³», «Покрытие, %», «Ожидалось около, кг/м³», «Статус», «Примечание»;нет;«Ожидалось около, кг/м³», «Плотность, кг/м³», «Примечание»;"«Ожидалось около» None всегда в строке «Al, liquid model» (reference=None, physical.py:1196), рядом с числами NaN; плотность None без модели; «Примечание» """" (1218)";нет;да — None / NaN (всегда в строке «Al, liquid model»);по коду
6;app/ThermoGar_app.py:2179;Свойства → Покрытие физической базы, «Обновить покрытие физической базы»;Покрытие PDB по фазам TDB: «Фаза», «Что это», «Статус плотности», «Используемая модель», «Примечание»;нет;«Что это», «Используемая модель»;""""" в «Что это» во всех строках (phase_explanations={}, verified_physical.py:643–648); """" в «Используемая модель» без модели (physical.py:1722–1729)";нет;"нет — только """"";по коду
7;app/ThermoGar_app.py:2322;Свойства → Упругие свойства, «Упругие свойства по фазовым долям», после «Получить фазовые доли»;Редактор фаз: «Фаза», «Мольная доля фаз», «Объёмная доля фаз», «E, ГПа», «ν», «Происхождение», «Источник», «Температура источника, °C», «Примечание»;да (Фаза и доли — disabled);«E, ГПа», «ν», «Происхождение», «Источник», «Температура источника, °C», «Примечание»;"фаза без записи в библиотеке: E, ν, происхождение, источник, температура = None, примечание """"; столбец целиком None — object None, рядом с числами NaN; очищенная ячейка приходит None/NaN, _b4b2_editor_value даёт None (verified_properties.py:906–933; properties.py:492–507)";column_config: NumberColumn без format для долей, строковые подписи (1461–1477);да — None / NaN;"results/wave21_m/kadry/uprugie_shag2_svet.png и _tyomn.png, results/wave21_l/10b/S14_ni_umolch_shag2.png — серое «None» в E, ν, Происхождение, Источник, Температура источника (FCC_A1, GAMMA_PRIME); docs/guide/img/svoystva-04.png, svoystva-05.png — всё заполнено; тест tools/test_physical_overrides_toggle.py:296–323 (подмена редактора)"
8;app/ThermoGar_app.py:2407;Свойства → Упругие свойства, после «Рассчитать Voigt–Reuss–Hill»;Границы VRH: «Метод», «K, ГПа», «G, ГПа», «E, ГПа», «ν», «K/G»;нет;нет;все величины проверены конечными, иначе PropertyCalculationError (properties.py:720–749);нет;нет;docs/guide/img/svoystva-05.png — пустых нет
9;app/ThermoGar_app.py:2599;Свойства → Вклады упрочнения;«Механизм», «Вклад, МПа», «Формула», «Исходные данные»;нет;нет;строки только для включённых механизмов, поля заданы (properties.py:995–1133);нет;нет;по коду
10;app/ThermoGar_app.py:3059;Общий выбор фаз «Управление фазами / метастабильный расчёт», режим «Вручную»: Расчёты (3 вида), Диаграммы (4 вида), Затвердевание;Выбор фаз: «Использовать», «Фаза», «Что это», «Примечание модели»;да (только «Использовать»);«Что это», «Примечание модели»;""""" без пояснения фазы и вне пары порядок/беспорядок (3037–3093, 2900–2915); None/NaN нет";column_config: CheckboxColumn, TextColumn;"нет — только """"";по коду
