Параметр,Значение
База,Никелевые сплавы — mc_ni 2.036
Файл базы,C:\Users\gareg\Desktop\ThermoGar-w15a\databases\converted\mc_ni_v2036_with_mobility.garcalc.tdb
SHA-256 базы,1882d841a337063e0585d261c690ae7e565838234e231e21b8541a5cb0dba391
Kawin,0.5.0
pycalphad,0.11.2
Класс термодинамики Kawin,MulticomponentThermodynamics
Состав,"AL=5.2, CR=14.2"
Единицы исходного состава,атомные %
Элемент-основа,NI
Температурный режим,изотермический
Элементы,"NI, AL, CR"
Матрица,FCC_A1
Роль матрицы в order/disorder-модели,independent
Фаза-выделение,GAMMA_PRIME
"Межфазная энергия, Дж/м²",0.0155
"Молярный объём матрицы, см³/моль",7.021306764
"Молярный объём выделения, см³/моль",7.451433899
Центры зарождения,BULK
"Bulk N0, 1/м³",8.576951502e+28
"Размер зерна, мкм",100
"Плотность дислокаций, 1/м²",5e+12
"Энергия границы зерна, Дж/м²",0.3
"Минимальный радиус, нм",0.1
"Максимальный радиус, нм",10
Классов размеров,400
Источник физических входов,"WAVE15_A: Sudbrack и др., Acta Mater 54 (2006) 3199; межфазная энергия измерена; Vm — physical_data_v103.pdb при 873 K; N0 = N_A/Vm(FCC_A1)"
Правки базы ThermoGar,нет
Класс расчёта,"исследовательский сценарий, не прогноз материала"
