файл:строка;текст;что это;что делать при выпуске;чем проверяется
app/thermogar_release_policy.py:25;"APP_STAGE: Final = ""0.4.4""";поведение;заменить на 0.5.0;ничем напрямую: APP_STAGE ни с чем не сверяется (tools/thermogar_verified_state_test.py:83 берёт его же)
app/thermogar_release_policy.py:26;"APP_VERSION: Final = ""0.4.4""";поведение;заменить на 0.5.0;tools/test_version_consistency.py:41 — все проверки теста сверяют файлы с APP_VERSION
app/thermogar_release_policy.py:281;"f""{APP_VERSION}|release-surface|""";поведение;не трогать: RUNTIME_POLICY_GENERATION собирается из APP_VERSION (:280–284) и сменится сам;ничем
app/thermogar_release_policy.py:315;"""version"": APP_VERSION,";поведение;не трогать: release_status()['version'] = APP_VERSION, идёт в JSON диагностики, диффузии, выделений;ничем
app/ThermoGar_app.py:7111;"""ThermoGar 0.4.4 — исследовательское ПО. """;текст;заменить на 0.5.0;tools/test_version_consistency.py:115–119 (test_sidebar_caption) и :101–106 (первое упоминание, MUST_MENTION)
app/ThermoGar_app.py:5755;"""Версия ThermoGar"": APP_VERSION,";поведение;"не трогать: берётся из APP_VERSION; лист «Происхождение» выгрузки Excel";ничем
app/ThermoGar_app.py:7421;or previous_release_generation != RUNTIME_POLICY_GENERATION;поведение;не трогать: смена RUNTIME_POLICY_GENERATION сбрасывает результаты в состоянии сессии (:7423–7448);ничем
app/ThermoGar_app.py:12552;"f""Версия {APP_VERSION}. Ниже описано то, что приложение делает """;текст;не трогать: «Версия {APP_VERSION}» на вкладке справки берётся из APP_VERSION;ничем
app/thermogar_verified_state.py:287;"""app_stage"": APP_STAGE,";поведение;не трогать: приём файла проекта требует app_stage == APP_STAGE;ничем (сравнение версии проекта тестом не проверяется)
app/thermogar_verified_state.py:288;"""app_version"": APP_VERSION,";поведение;не трогать: приём файла проекта требует app_version == APP_VERSION;ничем
app/thermogar_verified_state.py:51;"""updated_at"", ""app_stage"", ""app_version"", ""release_class"",";поведение;не трогать: PROJECT_PAYLOAD_KEYS (:49–54) — 14 ключей, в том числе app_stage и app_version;tools/thermogar_verified_state_test.py:83–84
app/thermogar_workspace.py:662;"""app_stage"": APP_STAGE,";поведение;"не трогать: validate_project_payload (:627) требует app_stage == APP_STAGE, иначе «Проект сохранён другой версией ThermoGar; автоматическое приведение не выполняется»";ничем
app/thermogar_workspace.py:663;"""app_version"": APP_VERSION,";поведение;не трогать: validate_project_payload требует app_version == APP_VERSION;ничем
