№;файл:строка;цитата (до 200 знаков);что устарело;решение
1;docs/guide/01-raschety.md:74–75;"Перейдите на **«Температурный диапазон»** и поставьте **От 500**, **До 900**, **Шаг 100 °C**. Пять точек для стали считаются примерно полминуты.";"У стали 500–900 °C шагом 100 теперь умолчание (DATABASE_DEFINITIONS fe, app/ThermoGar_app.py:363–365): ставить ничего не нужно, достаточно проверить. Поле «Показывать на графике фазы с максимумом не менее, %» ушло в свёрнутый «Точность и критерии»; текст его не называет.";"5 (21-М)"
2;docs/guide/02-diagrammy.md:21–23;"Поставьте `AL: до` **35 %**, **шаг по составу 5 %**, температуру **от 600 до 1600 °C** с **шагом 50 °C**. Шаг — главный расход времени: на такой сетке диаграмма строится около полминуты…";"«Шаг по составу» и «Шаг по температуре, °C» — в свёрнутом блоке «Точность и критерии» (app/ThermoGar_app.py:8607–8651): блок надо раскрыть. После ввода над кнопкой — «Не по умолчанию: Шаг по составу, ат.%; Шаг по температуре, °C.». Попутно (21-Ж, до 21-И): поле называется «Al: до, ат.% (0.001–100)», не «AL: до»; 35 — умолчание.";"2, 3, 4 (21-М)"
3;docs/guide/02-diagrammy.md:29–30;"Нажмите **«Построить диаграмму состояния»**. Если программа предупредила, что выбрано больше семи фаз, это не ошибка: расчёт пройдёт, но график будет плотнее.";"Дополнить: кнопка в строке, прилипающей к нижнему краю окна, над ней — подпись «Не по умолчанию: …» с двумя полями шага. Остальное верно.";"1В, 4 (21-М)"
4;docs/guide/03-zatverdevanie.md:25–27;"**Начальная температура 700 °C** — заведомо выше ликвидуса этого сплава, **шаг охлаждения 10 °C**. Если задать старт ниже ликвидуса, программа сама поднимет температуру до однофазного расплава и…";"Оба поля — в свёрнутом блоке «Точность и критерии» (app/ThermoGar_app.py:10469–10483): блок надо раскрыть. После ввода над кнопкой — «Не по умолчанию: Начальная температура, °C; Шаг охлаждения, °C.» (умолчания al 850 и 5).";"2, 4 (21-М)"
5;docs/guide/03-zatverdevanie.md:33–36;"…В **«Сводке»**: расчётный ликвидус 650,0 °C, окончание 529,7 °C. Для Шейля «окончание» — это момент, когда остаток расплава упал до заданного порога (по умолчанию 5 %)…";"«Сводка» — вариант переключателя видов, не вкладка (app/ThermoGar_app.py:11063). «(по умолчанию 5 %)» неверно: умолчание поля 0.01 %, 5 — верхняя граница (app/ThermoGar_app.py:10535–10538); после 13Б граница видна в подписи «Scheil: остановить при остатке расплава, % (0.0001–5)». Ошибка текста старше 21-И: в 0.4.4 умолчание тоже 0.01.";"21-И; 13Б (21-М)"
6;docs/guide/03-zatverdevanie.md:44–45;"которого и вырастут междендритные интерметаллиды. Их список — на подвкладке **«Твёрдые фазы»**.";"«Твёрдые фазы» — вариант переключателя видов результата, не подвкладка.";"21-И"
7;docs/guide/03-zatverdevanie.md:51–52;"Подвкладка **«Выгрузка»** → **«Скачать Excel»**: температуры, доли фаз по шагам и параметры расчёта одним файлом. Рядом — PNG с кривой и ZIP со всем сразу.";"«Выгрузка» — вариант переключателя, не подвкладка. Состав расплава в файлах (Excel, CSV в ZIP) после 12Б — с символами Ni, Al; текст заголовков не называет, правка текста не нужна.";"21-И; 12Б (21-О) — без правки текста"
8;docs/guide/04-energii.md:13–15;"…поставьте `GAMMA_PRIME`. Галочка **«Исключить выбранную фазу из исходного равновесия»** должна быть включена: движущая сила считается относительно состояния, в котором γ′ ещё нет.";"Галочка теперь в свёрнутом блоке «Управление фазами / метастабильный расчёт» (app/ThermoGar_app.py:11604–11617). По умолчанию включена — на экране её не видно, пока блок свёрнут.";"2, 3 (21-М)"
9;docs/guide/04-energii.md:21–22;"В поле **«Фазы исходного равновесия»** уберите лишнее и оставьте `FCC_A1`. Тогда результат — это выигрыш энергии при появлении γ′ в чистой γ-матрице, без вклада других фаз.";"Поле — в том же свёрнутом блоке (app/ThermoGar_app.py:11624–11632): раскрыть. После выбора над кнопкой — «Не по умолчанию: Фазы исходного равновесия.».";"2, 3, 4 (21-М)"
10;docs/guide/04-energii.md:28–29;"**От 600 до 800 °C**, **шаг 50 °C**. Каждая точка — отдельный расчёт равновесия, поэтому широкое окно с мелким шагом считается долго; для ответа «есть стимул или нет» хватает пяти точек.";"«Шаг температуры, °C» — в свёрнутом «Точность и критерии» (app/ThermoGar_app.py:11590–11602), «от» и «до» — на виду. Подпись над кнопкой: «Не по умолчанию: Шаг температуры, °C; Фазы исходного равновесия.».";"2, 3, 4 (21-М)"
11;docs/guide/05-svoystva.md:42–44;"Для каждой фазы нужно указать модуль Юнга `E`, коэффициент Пуассона `ν`, происхождение значения и источник — без происхождения расчёт не запустится. В примере взяты учебные 200 ГПа / 0,31…";"Теперь кнопка «Рассчитать Voigt–Reuss–Hill» неактивна, пока таблица неполна, под ней — первая причина (app/ThermoGar_app.py:2372–2384, elastic_rows_missing_text). Текст «не запустится» заменить на «кнопка неактивна, под ней сказано, что заполнить».";"11Б (21-М)"
12;docs/guide/05-svoystva.md:54–55;"На соседних подвкладках — **«Плотность по T»** (та же плотность кривой по температуре) и **«Вклады упрочнения»** (Холл–Петч, Тейлор, Орован по вашим коэффициентам).";"«Плотность по T»: график matplotlib, ось по данным без запятых (15Б), у стали по умолчанию 500–900 °C шагом 100 (5). «Вклады упрочнения»: кнопка «Рассчитать вклады» неактивна, пока не указан источник и не отмечено подтверждение (11Б). По желанию — одной фразой.";"5, 15Б, 11Б (21-М)"
13;docs/guide/06-kinetika.md:31–32;"Изотермическая выдержка **800 °C**, **время 1 ч**. Время здесь модельное: минута счёта примерно на час выдержки, поэтому длинный режим сначала прикидывают на коротком времени.";"22-Б ограничил рост шага KWN на всех базах: ni 100 ч — 154 с вместо 255 с (облако, 22-Б п. 4). Соотношение «минута на час» сверить прогоном на ноутбуке.";"BL-43 (22-Б)"
14;docs/guide/06-kinetika.md:47–51;"Нажмите **«Рассчитать кинетику выделений»**. Верхний график — объёмная доля γ′ по времени (логарифмическая шкала): до 0,01 ч ничего не происходит, за следующие несколько минут доля выходит на 24,7 %…";"Числа (24,7 %, около 4 нм, 6,6·10²³ 1/м³) считаны до 22-Б. С K = 2 ход расчёта ni меняется немного (100 ч: R 92,19 нм вместо 92,23). Сверить на новом кадре kinetika-05. «В сводке над графиками» — вид «Итоги» переключателя (21-И), верно.";"BL-43 (22-Б)"
15;docs/guide/06-kinetika.md:55–58;"Состав раздела может содержать до **10 добавок** к основе. Если добавок больше четырёх, над вкладками появляется предупреждение о времени: расчёт идёт в этой же вкладке, не отменяется, и…";"Предупреждение идёт из result.warnings и стоит над переключателем видов результата (app/thermogar_precipitation.py:1673–1674, :1683), вкладок у результата нет.";"21-И"
16;docs/guide/06-kinetika.md:80–82;"* **«Расчёт остановлен на … с модельного времени: доля … в матрице стала 0 ат. %».** Добавка вычерпана из матрицы, баланс масс нарушен. Графики и таблицы показывают часть расчёта до остановки…";"Текст остановки в 21-О — «доля … в матрице ушла ниже нуля» (3В). 22-Б: условие BL-35 смотрит на состав до зажима, остановка может быть численным перелётом, а не разрывом баланса (признак в stop_diagnostics, на экран не выводится): «баланс масс нарушен» — сверить с новым текстом.";"3В (21-О); BL-43 (22-Б)"
