faza,opisanie_en,klyuchi,osnovanie
BETA_MN,Simple cubic Manganese modification between 1000 K and 1370 K.,S_CUB,S_CUB: «Simple cubic» (п. 2); прочее: интервал «between 1000 K and 1370 K» ключа не даёт (п. 10); модификация одного элемента Mn — класса нет (п. 4)
BETA_RHOMBO_B,Rhombohedral Boron.,S_RHO,S_RHO: «Rhombohedral» (п. 2); прочее: модификация одного элемента B — класса нет (п. 4)
B_CHALC,"Cu2S, B-chalcosite.",C_SUL,"C_SUL: формула «Cu2S» в тексте, есть S (п. 4)"
CHI_A12,"Alpha-Mn structure closely related to topologically close-packed sigma, Mu, and R-Phase. Unit cell contains 58 atoms plus interstitials (carbon).",,"прочее: пусто: «Alpha-Mn structure» — структурный тип (п. 2); «closely related to topologically close-packed» — не R_TPU (п. 7); CHI_A12 — имя без формулы, «carbon» — слово, не формула (п. 4)"
CORUND,"corund-structured (Al,Cr,Fe)2O3",C_OX,"C_OX: формула «(Al,Cr,Fe)2O3» в тексте, есть O (п. 4); прочее: «corund-structured» — структурный тип (п. 2)"
CR2B,Orthorhombic.,S_ORT C_BOR,"S_ORT: «Orthorhombic» (п. 2); C_BOR: имя CR2B = Cr2B, есть B (п. 4)"
CR3MN5,"Also called ""alpha prime Phase""",C_INT,"C_INT: имя CR3MN5 = Cr3Mn5, только металлы (п. 4)"
CRB,relevance in bracing filler alloy,C_BOR,"C_BOR: имя CRB = CrB, есть B (п. 4)"
DIGENITE,Use for equilibrium calculation only.,SL_EQ,SL_EQ: «Use for equilibrium calculation only» (п. 11)
DISULF,"Pyrite, FeS2.",C_SUL,"C_SUL: формула «FeS2» в тексте, есть S (п. 4); прочее: «Pyrite» — минерал (п. 2)"
D_NIMO,Ni-Mo delta,C_INT,"C_INT: имя D_NIMO без приставки D_ = NiMo, только металлы (п. 4)"
FC_MONO,Monoclinic sulfur (high T),S_MON T_HIGH,"S_MON: «Monoclinic» (п. 2); T_HIGH: «high T» (п. 10); прочее: сера — модификация одного элемента, класса нет (п. 4)"
FC_ORTHO,Orthorhombic Sulfur (low T).,S_ORT T_LOW,"S_ORT: «Orthorhombic» (п. 2); T_LOW: «low T» (п. 10); прочее: сера — модификация одного элемента, класса нет (п. 4)"
HALITE,"halite-structured (Cr,Fe,Ni)O",C_OX,"C_OX: формула «(Cr,Fe,Ni)O» в тексте, есть O (п. 4); прочее: «halite-structured» — структурный тип (п. 2)"
HF1O2_C,cubic,S_CUB C_OX,"S_CUB: «cubic» (п. 2); C_OX: имя HF1O2_C без суффикса _C = HfO2, есть O (п. 4)"
HF1O2_M,"monoclinic, strengthening dispersoid",S_MON C_OX R_DISPU,"S_MON: «monoclinic» (п. 2); C_OX: имя HF1O2_M без суффикса _M = HfO2, есть O (п. 4); R_DISPU: «strengthening dispersoid» (п. 5); прочее: «strengthening dispersoid» — не R_UPR (п. 6)"
HF1O2_T,tetragonal,S_TET C_OX,"S_TET: «tetragonal» (п. 2); C_OX: имя HF1O2_T без суффикса _T = HfO2, есть O (п. 4)"
LA2O3_A,"hexagonal, strengthening dispersoid",S_HEX C_OX R_DISPU,"S_HEX: «hexagonal» (п. 2); C_OX: имя LA2O3_A без суффикса _A = La2O3, есть O (п. 4); R_DISPU: «strengthening dispersoid» (п. 5); прочее: «strengthening dispersoid» — не R_UPR (п. 6)"
LA2O3_C,cubic,S_CUB C_OX,"S_CUB: «cubic» (п. 2); C_OX: имя LA2O3_C без суффикса _C = La2O3, есть O (п. 4)"
M2B,Tetragonal.,S_TET C_BOR,"S_TET: «Tetragonal» (п. 2); C_BOR: имя M2B, есть B (п. 4)"
M6C_WY,M6C with physically correct sites according to Wyckoff positions.,C_CAR,"C_CAR: «M6C» в тексте и имя без суффикса _WY, есть C (п. 4); прочее: «Wyckoff positions» кристаллическую систему не называет (п. 2)"
MU_PHASE,can form as topologically close-packed structure in superalloys; affecting brittleness.,R_TPU R_OXR,"R_TPU: «can form as topologically close-packed structure» (п. 7); R_OXR: «affecting brittleness» (п. 8); прочее: MU_PHASE — имя без формулы, класса нет (п. 4)"
O1_GAS,for thermodynamic properties calculations only,C_GAS SL_TD,C_GAS: GAS в имени O1_GAS (п. 4); SL_TD: «for thermodynamic properties calculations only» (п. 11)
P_PHASE,closely related to Sigma. Can form as topologically close-packed structure in superalloys; affecting brittleness.,R_TPU R_OXR,"R_TPU: «Can form as topologically close-packed structure» (п. 7); R_OXR: «affecting brittleness» (п. 8); прочее: P_PHASE — имя без формулы, класса нет (п. 4)"
R_PHASE,closely related to Sigma and Mu-phase. Can form as topologically close-packed structure in superalloys; affecting brittleness.,R_TPU R_OXR,"R_TPU: «Can form as topologically close-packed structure» (п. 7); R_OXR: «affecting brittleness» (п. 8); прочее: R_PHASE — имя без формулы, класса нет (п. 4)"
SIO2,Low Quartz,C_OX,"C_OX: имя SIO2 = SiO2, есть O (п. 4); прочее: «Low Quartz»: quartz — минерал (п. 2); «Low» — не «low T» / «low-temperature», T_LOW не ставлю (п. 10, п. 12)"
TIO2,Note: fully oxidized compound without oxygen vacancies,C_OX,"C_OX: имя TIO2 = TiO2, есть O (п. 4)"
TRID,Tridymite,,"прочее: пусто: «Tridymite» — минерал (п. 2), TRID — имя без формулы (п. 4)"
AL12MG2CR,dispersoid in AA7xxx,C_INT R_DISP,"C_INT: имя AL12MG2CR = Al12Mg2Cr, только металлы (п. 4); R_DISP: «dispersoid» без «strengthening» (п. 5)"
AL18CR2MG3,"E-phase, dispersoid in overaging regime in 7xxx Al-alloys [C42,C43]. Contains some Cu and Zn [C44]",C_INT R_DISP,"C_INT: имя AL18CR2MG3 = Al18Cr2Mg3, только металлы (п. 4); R_DISP: «dispersoid» без «strengthening» (п. 5)"
AL2CU3_D,delta phase,C_INT,"C_INT: имя AL2CU3_D без суффикса _D = Al2Cu3, только металлы (п. 4)"
AL3TI_H,Tetragonal high temperature modification with space group I4/mmm.,S_TET C_INT T_HIGH,"S_TET: «Tetragonal» (п. 2); C_INT: имя AL3TI_H без суффикса _H = Al3Ti, только металлы (п. 4); T_HIGH: «high temperature» (п. 10)"
AL3TI_L,"Tetragonal low-temperature modification, space group I4/mmm.",S_TET C_INT T_LOW,"S_TET: «Tetragonal» (п. 2); C_INT: имя AL3TI_L без суффикса _L = Al3Ti, только металлы (п. 4); T_LOW: «low-temperature» (п. 10)"
AL4MN,Hexagonal,S_HEX C_INT,"S_HEX: «Hexagonal» (п. 2); C_INT: имя AL4MN = Al4Mn, только металлы (п. 4)"
AL8FEMNSI2,"Intermetallic alpha_AlMnSi phase reported to crystallize during undercooling of Al-Si-Fe-Mn alloys. [REF:C18] Has higher Si than cubic alpha-phase ALCRFEMNSI_A. Relevant in simulations of high-Si Al-alloys, such as A356.",C_INT,"C_INT: «Intermetallic» в тексте (п. 4); прочее: «cubic» в тексте относится к другой фазе («cubic alpha-phase ALCRFEMNSI_A»), S_CUB не ставлю (п. 2, п. 12); «high-Si» — не температура"
AL9CU11_Z,zeta phase,C_INT,"C_INT: имя AL9CU11_Z без суффикса _Z = Al9Cu11, только металлы (п. 4)"
AL9CU11_ZP,zeta prime phase,C_INT,"C_INT: имя AL9CU11_ZP без суффикса _ZP = Al9Cu11, только металлы (п. 4)"
ALCUMN_T1,"T1-phase with orthorhombic crystal structure, space group Bbmm or Cmcm. Crystallizes during casting of Cu-Mn containing 2xxx alloys and as rodlike dispersoids. Previously discribed as AL20CU2MN3 [REF:C5,C22,C23,C41], however experiments support stoichiometries close to Al20Cu3Mn4.",S_ORT C_INT R_DISP,"S_ORT: «orthorhombic crystal structure» (п. 2); C_INT: формулы «AL20CU2MN3», «Al20Cu3Mn4» в тексте, только металлы (п. 4); R_DISP: «rodlike dispersoids» без «strengthening» (п. 5)"
ALCU_EPL,epsilon prime phase low T,C_INT T_LOW,"C_INT: имя ALCU_EPL без суффикса _EPL = AlCu, только металлы (п. 4); T_LOW: «low T» (п. 10)"
ALCU_EPS,AlCu-epsilon,C_INT,"C_INT: «AlCu» в тексте, только металлы (п. 4)"
ALCU_ETH,eta phase high T,C_INT T_HIGH,"C_INT: имя ALCU_ETH без суффикса _ETH = AlCu, только металлы (п. 4); T_HIGH: «high T» (п. 10)"
ALCU_ETL,eta prime phase low T,C_INT T_LOW,"C_INT: имя ALCU_ETL без суффикса _ETL = AlCu, только металлы (п. 4); T_LOW: «low T» (п. 10)"
ALCU_G,stable as high T gamma spec in Al-Cu,C_INT T_HIGH,"C_INT: имя ALCU_G без суффикса _G = AlCu, только металлы (п. 4); T_HIGH: «stable as high T» (п. 10)"
ALFENI_T1,"Ternary compound Al9FeNi. Al9Co2-type monoclinic structure with 22 atoms per form,ula unit. Contributes to hardening, reported for alloy 2618, with a high thermal stability of particles up to 600C. [REF:C19,C20,C21]",S_MON C_INT R_UPR,"S_MON: «monoclinic structure» (п. 2); C_INT: формула «Al9FeNi» в тексте, только металлы (п. 4); R_UPR: «Contributes to hardening» (п. 6); прочее: «Al9Co2-type» — структурный тип; «up to 600C» — число, ключа не даёт (п. 10)"
ALFESI_T5,hexagonal alpha-AlFeSi end-member,S_HEX C_INT,"S_HEX: «hexagonal» (п. 2); C_INT: «AlFeSi» в тексте, Si с несколькими металлами (п. 4)"
ALFESI_T6,"Monoclinic AlFeSi-Beta phase, roughly given as Al5FeSi. Important dispersoid in Fe-containing Al-alloys",S_MON C_INT R_DISP,"S_MON: «Monoclinic» (п. 2); C_INT: формула «Al5FeSi» в тексте, Si с несколькими металлами (п. 4); R_DISP: «Important dispersoid» без «strengthening» (п. 5)"
BCC_A2,relevant in Al-Cu,S_BCC,S_BCC: имя BCC_A2 (п. 3); прочее: BCC_A2 класса не даёт (п. 3)
PI_ALFEMGSI,"Hexagonal equilibrium pi-phase. Occurs in Al-alloys with high contents of Si and Mg. Influencing ductility. [REF:C14,C15]",S_HEX C_INT R_OXR U_EQ,"S_HEX: «Hexagonal» (п. 2); C_INT: имя PI_ALFEMGSI без приставки PI_ = AlFeMgSi, Si с несколькими металлами (п. 4); R_OXR: «Influencing ductility» (п. 8); U_EQ: «Hexagonal equilibrium pi-phase» (п. 9)"
