строка;было;стало;основание;пометка
USER_GUIDE_THERMOGAR.md:78;C=0.2, CR=11.5, NI=0.7;C=0.2, Cr=11.5, Ni=0.7;"опись USER_GUIDE :75–79; app/ThermoGar_app.py:358–360, :7357";символы элементов как на экране (21-Ж)
USER_GUIDE_THERMOGAR.md:90–96;"В каждом расчётном разделе есть свёрнутый блок «Управление фазами / метастабильный расчёт» с двумя режимами: - **Автоматически** — учитываются все фазы, совместимые с базой и составом. Это обычное равновесие; начинайте с него. - **Вручную** — галочками можно снять фазы.";"Во многих расчётных разделах есть свёрнутый блок «Управление фазами / метастабильный расчёт»: раскройте его. В «Расчётах», «Диаграммах» и «Затвердевании» в нём — переключатель «Какие фазы учитывать» с двумя вариантами: - **«Автоматически — все совместимые фазы»** — учитываются все фазы, совместимые с базой и составом. Это обычное равновесие; начинайте с него. - **«Вручную — поставить или снять галочки»** — галочками можно снять фазы.";"опись USER_GUIDE :90–97; app/thermogar_release_ui.py:52; app/ThermoGar_app.py:2962, :3025–3030";новая формулировка — на проверку мастера (как правка краткого руководства, ШАГ 2)
USER_GUIDE_THERMOGAR.md:98–102;нужно явно помечать как метастабильный.;нужно явно помечать как метастабильный. В «Плотности», «Плотности по T» и «Упругих свойствах» вместо переключателя — галочка «Выбрать фазы вручную», в «Движущей силе» — список «Фазы исходного равновесия». В «Кинетике» блока нет.;"опись USER_GUIDE :90–97; app/ThermoGar_app.py:1585–1589, :11642, :11663";новая формулировка — на проверку мастера (как правка краткого руководства, ШАГ 2)
USER_GUIDE_THERMOGAR.md:173–176;"> Равновесие при 750.0 °C не найдено: pycalphad вернул пустое решение (сумма > долей фаз равна нулю), поэтому результата нет — попробуйте другую температуру > или состав; решатель не сходится на части составов, и соседние точки тоже > могут оказаться пустыми.";"> Равновесие при 750.0 °C не найдено: pycalphad не нашёл ни одной фазы (сумма > долей фаз равна нулю), поэтому результата нет — попробуйте другую температуру > или состав; на части составов расчёт не сходится, и соседние точки тоже > могут оказаться пустыми.";"опись USER_GUIDE :164–173; app/thermogar_stage14.py:106–111";сообщение дословно по коду
USER_GUIDE_THERMOGAR.md:199–206;Диаграммы — самая дорогая часть программы. Строятся по узлам сетки, шаг задаётся вручную. Начинайте с грубого шага: результат появляется быстро, и по нему видно, где сетку стоит сгущать.;Диаграммы — самая дорогая часть программы. Строятся по узлам сетки, шаг задаётся вручную. Шаги — в свёрнутом блоке «Точность и критерии»: раскройте его. Начинайте с грубого шага: результат появляется быстро, и по нему видно, где сетку стоит сгущать. Строка с кнопкой расчёта держится у нижнего края окна, пока форма не прокручена до её места. Над кнопкой — подпись «Не по умолчанию: …»: она перечисляет поля свёрнутых блоков, которые вы изменили.;"опись USER_GUIDE :194–196; app/ThermoGar_app.py:8632, :9025, :9516, :9912; app/thermogar_release_ui.py:54, :110–124";"шаблон: поле в свёрнутом блоке; шаблон: строка кнопки (один раз на документ)"
USER_GUIDE_THERMOGAR.md:216–217;проскакивает его целиком, нужны 5–10 K.;проскакивает его целиком, нужны 5–10 K. «Шаг охлаждения, °C» — в свёрнутом блоке «Точность и критерии»: раскройте его.;"опись USER_GUIDE :205–206; app/ThermoGar_app.py:10500, :10507";шаблон: поле в свёрнутом блоке
USER_GUIDE_THERMOGAR.md:246–250;коэффициент Пуассона каждой фазы вводит пользователь вместе с источником: ThermoGar не выводит их из химического состава. Voigt и Reuss — идеализированные границы, Hill — их среднее.;коэффициент Пуассона каждой фазы вводит пользователь вместе с происхождением, источником и температурой источника: ThermoGar не выводит их из химического состава. Пока таблица неполна, кнопка «Рассчитать Voigt–Reuss–Hill» неактивна, под ней сказано, что заполнить. Voigt и Reuss — идеализированные границы, Hill — их среднее.;"опись USER_GUIDE :234–237; app/ThermoGar_app.py:2388–2400; app/thermogar_properties.py:1185–1189, :1269–1284";"шаблон: неактивная кнопка; «происхождением … температурой источника» — новая формулировка — на проверку мастера"
USER_GUIDE_THERMOGAR.md:254–257;итог не является пределом текучести, временным сопротивлением или твёрдостью.;итог не является пределом текучести, временным сопротивлением или твёрдостью. Пока пусто «Источник и область применимости входов» и не поставлена галочка «Подтверждаю область применимости введённых коэффициентов», кнопка «Рассчитать вклады» неактивна, под ней сказано, что заполнить.;"опись USER_GUIDE :238–242; app/ThermoGar_app.py:2474–2481, :2582–2597; app/thermogar_properties.py:1258–1263";"шаблон: неактивная кнопка; условие («Пока пусто … галочка …») — новая формулировка — на проверку мастера"
USER_GUIDE_THERMOGAR.md:258;- **Покрытие PDB** — какие равновесные фазы обеспечены физическими данными.;- **Покрытие физической базы** — какие равновесные фазы обеспечены физическими данными.;"опись USER_GUIDE :243; app/ThermoGar_app.py:12141";название дословно по коду
USER_GUIDE_THERMOGAR.md:262–267;- **Однофазная пара** — одномерная диффузия в диффузионной паре. - **Многофазная гомогенизация** — локально-равновесная модель. - **Покрытие базы подвижностей** — какие фазы несут данные о подвижности. Их немного: для Ni это `FCC_A1` и `NIAL`, для Al `FCC_A1`, для стали `BCC_A2` и `FCC_A1`.;"- **Диффузия и гомогенизация** — три варианта переключателя: - «Однофазная пара» — одномерная диффузия в диффузионной паре; - «Многофазная гомогенизация» — локально-равновесная модель; - «Покрытие базы подвижностей» — какие фазы несут данные о подвижности. Их немного: для Ni это `FCC_A1` и `NIAL`, для Al `FCC_A1`, для стали `BCC_A2` и `FCC_A1`.";"опись USER_GUIDE :247–253; app/ThermoGar_app.py:12227–12228; app/thermogar_diffusion.py:1540–1552";"шаблон: вариант переключателя / над переключателем видов; название дословно по коду"
USER_GUIDE_THERMOGAR.md:284;Предупреждения расчёта выделений выводятся над вкладками результата. Кроме;Предупреждения расчёта выделений выводятся над переключателем видов. Кроме;"опись USER_GUIDE :268; app/thermogar_precipitation.py:1829–1848";шаблон: вариант переключателя / над переключателем видов
USER_GUIDE_THERMOGAR.md:291–293;> Радиус зародыша 1.02 нм (оценка при 800.0 °C) больше начального максимального > радиуса сетки 0.5 нм, поэтому первые зародыши записываются мельче своего > размера, пока kawin не достроит сетку. Итоговые доля, радиус и число частиц;> Радиус зародыша 1.02 нм (оценка при 800.0 °C) больше начального максимального > радиуса сетки 0.5 нм, поэтому первые зародыши записываются мельче своего > размера, пока модель не расширит сетку размеров. Итоговые доля, радиус и число частиц;"опись USER_GUIDE :275–280; app/thermogar_precipitation.py:1033–1038";сообщение дословно по коду
