файл:строка;цитата (до 200 знаков);что устарело;задание или решение
USER_GUIDE_THERMOGAR.md:39–41;| Никелевые сплавы | mc_ni 2.036 | жаропрочные Ni-сплавы, γ/γ′, карбиды, топологически плотные фазы | | Алюминиевые сплавы | mc_al 2.037 | деформируемые и литейные Al-сплавы, θ, S-фаза, зоны Гинье–Пр…;Пункты в боковой панели называются «Никелевые сплавы — mc_ni 2.036», «Стали и Fe-сплавы — mc_fe 2.062», «Алюминиевые сплавы — mc_al 2.037» (app/ThermoGar_app.py:338, :352, :369).;"попутно — до волны 20; без правки"
USER_GUIDE_THERMOGAR.md:75–79;5. **Добавки** — строка вида `ЭЛЕМЕНТ=ЧИСЛО`, пары через запятую: ```text C=0.2, CR=11.5, NI=0.7 ```;"Пример `C=0.2, CR=11.5, NI=0.7`: на экране символы Ni/Cr — умолчание «C=0.20, Cr=11.5, Ni=0.7» (app/ThermoGar_app.py:358–360), подсказка «Пример: Al=15, Cr=10.» (:7357); разбор регистр не различает (:2664).";"21-Ж; правка"
USER_GUIDE_THERMOGAR.md:86;Ошибка в составе показывается сразу и расчёт не запускает.;"По сути верно; тексты ошибок состава — app/thermogar_workspace.py:489–555, у чужой ошибки — «Состав не принят.» и «Код ошибки» (app/ThermoGar_app.py:7397–7408).";"21-Ж; без правки"
USER_GUIDE_THERMOGAR.md:90–97;В каждом расчётном разделе есть свёрнутый блок «Управление фазами / метастабильный расчёт» с двумя режимами: - **Автоматически** — учитываются все фазы, совместимые с базой и составом. Это обычное ра…;"Переключатель в блоке — «Какие фазы учитывать»: «Автоматически — все совместимые фазы» / «Вручную — поставить или снять галочки» (app/ThermoGar_app.py:3025–3030); в Плотности, Плотности по T и Упругих свойствах — галочка «Выбрать фазы вручную» (:1585–1596); в «Движущей силе» — «Фазы исходного равновесия» (:11642–11665); в «Энергиях фаз», «T₀», «Вкладах упрочнения» и «Кинетике» блока нет.";"21-М (решения 2, 3); правка"
USER_GUIDE_THERMOGAR.md:101–104;Отдельно задаётся **набор фаз**: «Быстрый набор» — список фаз, обычных для практики, «Все фазы базы» — полный список. Быстрый набор считается заметно быстрее, но он неполон по определению, поэтому пр…;Переключатель «Набор фаз» и предупреждение о фазах вне быстрого набора лежат в том же свёрнутом блоке (app/ThermoGar_app.py:2962–3014).;"попутно — до волны 20; без правки"
USER_GUIDE_THERMOGAR.md:164–173;**Равновесие не найдено.** На части составов решатель pycalphad возвращает пустое решение: сумма долей фаз равна нулю. Тогда вместо таблицы появляется красное сообщение, например: > Равновесие при 75…;"Цитата сообщения расходится с кодом: «…pycalphad не нашёл ни одной фазы (сумма долей фаз равна нулю)… на части составов расчёт не сходится…» (app/thermogar_stage14.py:106–111); кадр docs/guide/img/soobshcheniya-02.png — со старым текстом; под сообщением теперь «Код ошибки: …» и «Технические сведения».";"21-Ж; правка цитаты; кадр — задача руководства"
USER_GUIDE_THERMOGAR.md:194–196;Диаграммы — самая дорогая часть программы. Строятся по узлам сетки, шаг задаётся вручную. Начинайте с грубого шага: результат появляется быстро, и по нему видно, где сетку стоит сгущать.;"Шаги диаграмм — в свёрнутом блоке «Точность и критерии» (app/ThermoGar_app.py:8632, :9025, :9516, :9912); изменённый шаг — в подписи «Не по умолчанию: …»; кнопка — в строке у нижнего края окна (app/thermogar_release_ui.py:54, :110–124).";"21-М (решения 1В, 2, 4); правка"
USER_GUIDE_THERMOGAR.md:200–212;Три варианта: только равновесное охлаждение, только Scheil–Gulliver или сравнение обоих на одном графике. Равновесная модель предполагает полную диффузию в твёрдом, Scheil — её отсутствие при полном …;Результат затвердевания не описан: виды «Сводка / Твёрдые фазы / Остаточный расплав / Выгрузка» переключателя (app/ThermoGar_app.py:11092–11105). Пробел, ложного текста нет.;"21-И; без правки (пробел)"
USER_GUIDE_THERMOGAR.md:205–206;Интервал кристаллизации бывает узким: для Ni–15Al шаг по температуре в 30 K проскакивает его целиком, нужны 5–10 K.;«Шаг охлаждения, °C» — в свёрнутом блоке «Точность и критерии» (app/ThermoGar_app.py:10500, :10507).;"21-М (решение 2); правка"
USER_GUIDE_THERMOGAR.md:222–225;Окно температур для T₀ нужно брать узким вокруг ожидаемого перехода: на широком окне разность перестаёт быть монотонной и корень не находится. Пара «матрица / выделение» пересечения по температуре об…;"По сути верно. Окно по умолчанию: сталь 200–950 °C, Ni 300–1700, Al 100–1000 (app/ThermoGar_app.py:437–438, :453–454, :468–469); состав в таблице T₀ — из заданной сетки (BL-66).";"21-О (решение 2В, BL-66); без правки, как строка 15 описи 21-Ц"
USER_GUIDE_THERMOGAR.md:234–237;- **Упругие свойства** — гомогенизация Voigt–Reuss–Hill. Модуль Юнга и коэффициент Пуассона каждой фазы вводит пользователь вместе с источником: ThermoGar не выводит их из химического состава. Voigt …;"Кнопка «Рассчитать Voigt–Reuss–Hill» неактивна, пока таблица неполна; под ней — причина (app/ThermoGar_app.py:2388–2400, app/thermogar_properties.py:1269–1284); обязательны также происхождение и температура источника (:1185–1189).";"21-М (решение 11Б, BL-67); правка"
USER_GUIDE_THERMOGAR.md:238–242;- **Вклады упрочнения** — Hall–Petch, Taylor, Orowan, твёрдорастворный и произвольный внешний вклад. Включайте только те механизмы, для которых известны исходные коэффициенты. По умолчанию вклады не …;"Кнопка «Рассчитать вклады» неактивна, пока пусто «Источник и область применимости входов» и не отмечено «Подтверждаю область применимости введённых коэффициентов» (app/ThermoGar_app.py:2474–2481, :2582–2597; app/thermogar_properties.py:1258–1263).";"21-М (решение 11Б, BL-65); правка"
