строка;цитата (до 200 знаков);что устарело;задание или решение
app/ThermoGar_app.py:12268–12269;1. В боковой панели выберите **базу материалов**: Ni, Al или Steel/Fe. Steel использует только канонический исправленный профиль `thermogar_patch`.;Сталь на экране больше не называет профиль `thermogar_patch`: подпись под выбором базы — «Стальная база: фаза C15_LAVES исключена из расчёта.» (app/ThermoGar_app.py:7261). Попутно, до волны 20: базы в списке называются «Никелевые сплавы — mc_ni 2.036», «Стали и Fe-сплавы — mc_fe 2.062», «Алюминиевые сплавы — mc_al 2.037» (:338, :352, :369), а не «Ni, Al или Steel/Fe».;"21-Ж (список 21-Г, стр. 59); попутно — до волны 20"
app/ThermoGar_app.py:12276–12277;6. Результат каждого раздела выгружается кнопками под таблицей и графиком: Excel везде, CSV и PNG — там, где есть скан или график.;Выгрузки «Затвердевания» и «Выделений» — не под таблицей и графиком, а в отдельном виде переключателя: «Затвердевание» → «Выгрузка» (:11098), «Выделения» → «Экспорт и ограничения» (app/thermogar_precipitation.py:1842).;21-И
app/ThermoGar_app.py:12283–12285;| **Одна температура** | Нужно узнать состояние сплава при одной температуре | Устойчивые фазы, их доли и составы | | **По температуре** | Нужно увидеть превращения при нагреве или охлаждении | Графи…;Попутно, до волны 20: разделов «Одна температура», «По температуре», «По составу» нет — это подвкладки «Расчёты → Одна температура / Температурный диапазон / Изменение состава» (:7494–7509).;попутно — до волны 20
app/ThermoGar_app.py:12306–12309;В каждом расчётном разделе есть блок **«Управление фазами / метастабильный расчёт»**.  - **Автоматически** — учитываются все совместимые фазы базы. - **Вручную** — можно снять галку с фазы.;"Блок с этим названием 21-М добавил в «Движущую силу» и «Свойства» (Плотность, Плотность по T, Упругие свойства, шаг 1); там вместо «Автоматически / Вручную» — галочка «Выбрать фазы вручную» и список «Фазы» (:1585–1596). В «Кинетике» блока нет. Блок свёрнут.";21-М (решения 2, 3)
app/ThermoGar_app.py:12328–12330;4. Для первого запуска оставьте шаг 2,5–5 ат.%. 5. Оставьте автоматический выбор фаз и нажмите **Построить тройную диаграмму**. 6. При необходимости включите линии связи, точки трёхфазного равновесия…;"«Шаг поиска границ, ат.% (0.5–10)», линии связи, «Показывать каждую N-ю линию связи», точки трёхфазного равновесия — в свёрнутом блоке «Точность и критерии» (:9516): блок надо раскрыть; изменённый шаг появится в подписи «Не по умолчанию: …» над кнопкой. Кнопка — в строке, прилипающей к нижнему краю окна.";21-М (решения 1В, 2, 3, 4)
app/ThermoGar_app.py:12370–12372;2. Для первого запуска выберите сравнение двух методов. 3. Оставьте автоматический поиск начальной температуры и LIQUID в списке фаз. 4. Для Al-сплавов начните с шага 5–10 °C, для Ni-сплавов — с 10–2…;"«Начальная температура, °C», «Шаг охлаждения, °C» и «Автоматически повысить температуру до однофазного расплава» — в свёрнутом блоке «Точность и критерии» (:10500–10530); шаг 5–10 / 10–20 °C задаётся там, после этого над кнопкой — «Не по умолчанию: Шаг охлаждения, °C.».";21-М (решения 2, 4)
app/ThermoGar_app.py:12374;"6. В сводке сравните ликвидус и температуру окончания; в разделе твёрдых фаз — последовательность выделения; в разделе расплава — микросегрегацию.";"Сводка, твёрдые фазы и остаточный расплав — не «разделы», а виды результата на переключателе «Сводка / Твёрдые фазы / Остаточный расплав / Выгрузка» (:11092–11098); показывается один вид.";21-И
app/ThermoGar_app.py:12383–12385;2. Нажмите **Получить фазовые доли**. 3. Для каждой фазы задайте `E`, `ν`, происхождение и источник. 4. Нажмите **Рассчитать Voigt–Reuss–Hill**.;"Кнопка «Рассчитать Voigt–Reuss–Hill» неактивна, пока таблица фаз неполна; под кнопкой — причина: «Не заданы E и ν для фаз: …», «Для каждой фазы обязательны происхождение и источник: …», «Для каждой фазы обязательна температура источника: …» (app/thermogar_properties.py:1269–1284). Руководство не называет температуру источника. Выбор фаз для шага 1 — в свёрнутом «Управление фазами / метастабильный расчёт».";"21-М (решения 2, 11Б; BL-67)"
app/ThermoGar_app.py:12394–12396;"2. Включите только механизмы, для которых есть исходные данные. 3. Задайте размер зерна, плотность дислокаций или параметры частиц. 4. Правило суммирования выбирайте явно; по умолчанию вклады не сумм…";"Кнопка «Рассчитать вклады» неактивна, пока пусто поле «Источник и область применимости входов» и не отмечена галочка подтверждения; под кнопкой — «Укажите источник и область применимости всех коэффициентов.» / «Подтвердите область применимости введённых коэффициентов.» (app/thermogar_properties.py:1261–1264). В руководстве этих шагов нет.";"21-М (решение 11Б; BL-65)"
app/ThermoGar_app.py:12404–12405;1. Откройте верхний раздел **Кинетика**. 2. Выберите **однофазную пару** либо **многофазную гомогенизацию**.;"«Однофазная пара» и «Многофазная гомогенизация» — варианты переключателя «Диффузия и гомогенизация» (app/thermogar_diffusion.py:1540–1545) вместе с «Покрытие базы подвижностей»; вкладок нет.";21-И
app/ThermoGar_app.py:12406–12407;3. Задайте составы левой и правой сторон, температуру, время и длину области. 4. Для первого теста оставьте 50–100 ячеек и не более трёх компонентов.;"«Длина области, мкм» и «Ячеек (12–160)» — в свёрнутом блоке «Параметры модели» (app/thermogar_diffusion.py:1446–1475); на виду — «Время, ч» отдельной строкой. Изменённое число ячеек — в подписи «Не по умолчанию: …».";21-М (решения 2, 3, 4)
app/ThermoGar_app.py:12408;5. Выберите фазу или набор фаз, для которых база содержит полный набор параметров подвижности.;"У Ni в «Многофазной гомогенизации» набор фаз по умолчанию — FCC_A1 и NIAL (app/thermogar_diffusion.py:109); текст «выберите» верен, но умолчание уже задано.";21-М (решение 9)
app/ThermoGar_app.py:12411;Однофазная модель принудительно использует одну фазу во всей области. Многофазная модель предполагает локальное равновесие в каждом объёмном элементе и требует выбора геометрического правила усреднен…;"Правило усреднения — поле «Модель эффективной подвижности» в свёрнутом блоке «Параметры модели» (21-М); плитки «Метод» в результате больше нет — метод виден на переключателе (16Б).";21-М (решения 2, 16Б)
app/ThermoGar_app.py:12420;6. Анализируйте объёмную долю, средний радиус, плотность частиц, скорость зарождения, состав матрицы и итоговое распределение размеров.;"Итоги, кинетика и состав матрицы, распределение размеров — виды результата на переключателе «Итоги / Кинетика и состав / Распределение размеров / Экспорт и ограничения» (app/thermogar_precipitation.py:1840–1846); показывается один вид. По 22-Б (остановка расчёта, «ушла ниже нуля» — 21-О, 3В) в руководстве мест нет.";"21-И; 22-Б и 21-О (3В) — мест нет"
app/ThermoGar_app.py:12436;"- окно поиска T₀ должно накрывать ожидаемый переход и быть узким: на широком окне разность энергий двух фаз немонотонна и корень не находится; для пар «матрица / выделение» (γ/γ′, α/карбид) T₀ этим с…";"По сути верно. У стали окно поиска T₀ по умолчанию теперь 200–950 °C (одна ветка α/γ), у Ni и Al — прежние 300–1700 и 100–1000 °C; состав в таблице T₀ — из заданной сетки (BL-66). Можно дополнить.";21-О (решение 2В, BL-66)
app/ThermoGar_app.py:12445–12446;2. Выберите три элемента и единицы треугольника. 3. Задайте температуру и шаг: начните с 5 %, затем уменьшайте до 2–2,5 %.;"«Единицы состава на треугольнике» и «Желаемый шаг сетки, % (2–20)» — в свёрнутом блоке «Точность и критерии» (:9912); изменённые — в подписи «Не по умолчанию: …».";21-М (решения 2, 4)
app/ThermoGar_app.py:12450;7. Цветовая шкала показывает мольную долю фазы, а пунктир — заданную границу её появления.;«Провести границу появления фазы при доле, мол.% (0–100)» и «Шкала цвета» — в свёрнутом блоке «Точность и критерии» (:9912).;21-М (решение 2)
app/ThermoGar_app.py:12459;"- Технические сведения об ошибке спрятаны под раскрываемым блоком; основной текст говорит, что исправить.";"Под сообщением об ошибке теперь «Код ошибки: …» и свёрнутые «Технические сведения» с кнопкой «Скачать технический отчёт» (app/thermogar_stage14.py:453–468); у своего сообщения ThermoGar в части мест их нет (details_for_own=False).";21-Ж
app/ThermoGar_app.py:12464;- **«Элемент отсутствует в базе»** — выберите другую базу либо уберите этот элемент.;"Попутно, до волны 20: такого заголовка на экране нет; общий текст — «В выбранной базе нет одного из введённых элементов.» + «Уберите этот элемент либо выберите другую базу материалов.» (app/thermogar_stage14.py:148–152).";попутно — до волны 20
app/ThermoGar_app.py:12466–12467;- Диаграмма не строится — сначала увеличьте шаг состава или температуры и сузьте диапазон. - В тройной диаграмме пропала ожидаемая замкнутая область — уменьшите шаг и попробуйте оставить только физич…;Шаги состава и температуры диаграмм — в свёрнутом блоке «Точность и критерии» (:8632, :9025, :9516): чтобы увеличить или уменьшить шаг, блок надо раскрыть.;21-М (решение 2)
