Код фазы,Простыми словами,Описание по-русски,Примечание модели,Оригинал из базы (англ.)
ALN,,"Описание фазы AlN основано на оценённом произведении растворимости; модель специально настроена для этой фазы. Фаза-выделение, связанная с дисперсионным упрочнением. Параметры основаны на оценённом произведении растворимости.",,"AlN phase description based on assessed solubility product, specifically designed for applications to thermokinetic precipitation simulations in microalloyed steels."
ALN_EQU,,"Новое описание фазы, основанное на калориметрических данных.",,New phase description based on calorimetric data.
ALPHA_MN,,"Объёмно-центрированная кубическая модификация марганца, устойчивая примерно ниже 1000 K.",,"Body-centered cubic Manganese modification, stable below around 1000 K."
ANILITE,,Описание в исходной базе отсутствует.,,
A_CHALC,,Гексагональная плотноупакованная модификация Cu₂S — A-халькозин.,,"Hexagonal close-packed Cu2S, A-chalcosite."
BCC_A2,феррит / ОЦК,Объёмно-центрированная кубическая фаза феррита.,Разупорядоченная часть связанной модели BCC_B2.,Body-centered cubic Ferrite phase.
BCC_B2,феррит / связанная ОЦК-модель A2–B2,феррит / связанная ОЦК-модель A2–B2. Объёмно-центрированная кубическая (ОЦК) структура. Упорядоченная фаза. Используется подрешёточная модель.,Связанная order/disorder-модель с BCC_A2; одно имя фазы не всегда означает полное упорядочение.,"Ordered bcc_A2-based B2-Phase, 2-substitutional sublattices split model used. Important hardening phase, e.g. in maraging steels. Three composition sets are seperated from each other: NiAl-, FeCo- and FeSi-B2"
BCC_DISL,,Фаза используется для моделирования образования атмосфер Коттрелла.,,"This phase is used to model Cottrell atmosphere formation; you should use it with these data only for interstitial segregation, since uncontrolled behaviour if substitutional also segregate. Interactions only defined up to a temperature of 1000°C"
BETA_MN,,Кубическая структура.,,Simple cubic Manganese modification between around 1000 K and 1370 K.
BETA_RHOMBO_B,,Ромбоэдрическая структура.,,Rhombohedral Boron.
BN_HP4,,Нитридная фаза.,,"Hexagonal Boron Nitride, graphite-type structure."
B_CHALC,,Сульфидная фаза.,,"Cu2S, B-chalcosite."
