,Параметр,Значение
0,База,Никелевые сплавы — mc_ni 2.036
1,Файл базы,C:\Users\gareg\AppData\Local\Temp\claude\C--Users-gareg\13a8bc90-e82a-4ff8-9b2c-d35fdebe683f\scratchpad\p6\src_main\databases\converted\mc_ni_v2036_with_mobility.garcalc.tdb
2,SHA-256 базы,1882d841a337063e0585d261c690ae7e565838234e231e21b8541a5cb0dba391
3,Kawin,0.5.0
4,pycalphad,0.11.2
5,Класс термодинамики Kawin,MulticomponentThermodynamics
6,Состав,"AL=9.8, CR=8.3"
7,Единицы исходного состава,атомные %
8,Элемент-основа,NI
9,Температурный режим,изотермический
10,Элементы,"NI, AL, CR"
11,Матрица,FCC_A1
12,Роль матрицы в order/disorder-модели,independent
13,Фаза-выделение,GAMMA_PRIME
14,"Межфазная энергия, Дж/м²",0.023
15,"Молярный объём матрицы, см³/моль",6.566272493
16,"Молярный объём выделения, см³/моль",6.566272493
17,Центры зарождения,BULK
18,"Bulk N0, 1/м³",1e+30
19,"Размер зерна, мкм",100
20,"Плотность дислокаций, 1/м²",5e+12
21,"Энергия границы зерна, Дж/м²",0.3
22,"Минимальный радиус, нм",0.2
23,"Максимальный радиус, нм",5
24,Классов размеров,30
25,Источник физических входов,SYNTHETIC_BACKEND_REGRESSION_NOT_MATERIAL_INPUT
26,Правки базы ThermoGar,нет
27,Класс расчёта,"исследовательский сценарий, не прогноз материала"
