№;шаг;что делается;чем (скрипт, файл:строка);что нужно от владельца;сколько заняло в 0.4.4 (отчёт 19-Д);что меняется для 0.5.0
0;проверки, ветка, задание;ls-remote main, git status, свободная память, чужой байткод app\__pycache__ в _to_delete, ветка выпуска, задание первым коммитом;"git; tasks/WAVE19_D_OPUS.md:11";санкция на слияние в main, тег и пуш — в тексте задания (WAVE19_D_OPUS.md:1);"1 мин (11:42:39–11:43; WAVE19_D_REPORT.md:13)";"без изменений; ветка от main после слияния 21-У и приёмки задач до выпуска"
1а;номер версии;"APP_VERSION и APP_STAGE, product-version.json; остальные места — по красному прогону теста, затем зелёный; HANDOFF «Выпущено»";"app/thermogar_release_policy.py:25–26; packaging/product-version.json:6–7; tools/test_version_consistency.py (красный и зелёный вывод — results/wave19_d/version_test_*.txt)";нет;шаги 1–4 и 6а–6в вместе — 13 мин (WAVE19_D_REPORT.md:14);"16 мест «заменить», 2 «новый» (HTML руководства, раздел CHANGELOG) и 2 «по желанию / BL-61» по results/wave21_f/versiya.csv; README.md:101 и docs/guide/README.md:23 тест не ловит (не первое упоминание) — править по таблице; BL-61: packaging/build_installer.ps1:14 и внести файл в тест"
1б;HTML руководства;"HTML текущей версии; его требует тест (GUIDE_HTML, MUST_MENTION)";"tools/make_guide_screens.py --html; HTML_NAME и HTML_TITLE — :46–47; tools/test_version_consistency.py:58, :65";"в 0.4.4 — нет; для 0.5.0 — ответ по HTML_NAME и HTML_TITLE (WAVE21_R_REPORT.md:160)";входит в 13 мин: пересборка без новых снимков, от HTML 0.4.3 отличие — три вхождения номера (WAVE19_D_REPORT.md:94);нужен docs/guide/ThermoGar_Guide_0.5.0.html. Без новой съёмки он покажет экран до 21-И, 21-М, 21-О, поэтому до выпуска — пересборка руководства (56 кадров, 21-Р), главы, FEATURES.md, LIMITS
1в;THIRD_PARTY_NOTICES;"перевыпуск скриптом; ожидание — меняется только строка Generated";packaging/generate_notices.ps1:59 (строка Generated);нет;входит в 13 мин (WAVE19_D_REPORT.md:102–105);без изменений, если runtime тот же (runtime-clean-3119)
2;CHANGELOG;раздел «## 0.5.0 — <дата>» сверху, текст мастера дословно;CHANGELOG.md:3;утверждение текста (черновик — results/wave21_f/changelog_0.5.0.md);входит в 13 мин;"раздел больше: изменения волн 20–22; пункты, меняющие числа, — первыми"
3;документы: LIMITS и FEATURES;в 0.4.4 — абзац мастера в LIMITS (BL-52);docs/LIMITS_OF_APPLICABILITY.md;нет;входит в 13 мин;"устарело после 22-Б и 21-О: LIMITS:170–181, FEATURES.md:118–125, 151–153, 174, docs/guide/06-kinetika.md:80–99 (REGISTER.md:1098; WAVE21_P_REPORT.md:190–193) — в задаче пересборки руководства, до выпуска"
4;BL-59 (.gitattributes, CSV);*.csv -text и восстановление рабочих копий;git;нет;входит в 13 мин;не нужен: BL-59 закрыт в 0.4.4
5а;регрессия;каждый файл tools/ отдельным процессом, 0 красных;"results/wave19_d/run_regress.py:77–98 (глоб test_*.py и thermogar_*_test.py; SLOW_FILES — список руками, :80–82) или results/wave21_o/scripts/run_regressiya.sh:55–69 (глоб test_*.py и *_test.py)";нет;129,3 мин, 57 заданий (WAVE19_D_REPORT.md:15, :160);"на 976e707: test_*.py — 34 (в v0.4.4 — 22), thermogar_*_test.py — 19. Раннер 19-Д даст 69 заданий (53 not slow + 8 slow + test_ui_f slow + 7 сценариев); у test_wave21_o.py 2 теста slow, в SLOW_FILES его нет — дописать (70). Раннер 21-О: 34 файла pytest + 12 unittest + 7 сценариев; 794 passed, 1 xfailed, 203 OK; 11:09–13:17 = 128 мин (WAVE21_O_REPORT.md:121, :163). После 21-У добавятся его тесты"
5б;сверка эталона бэкенда;исходы test_backend_calculations против исходов 17-Г построчно, без времён;results/wave19_d/backend_compare.py:16 (SOURCES: 17-Г и 19-Д);нет;"1 мин; 57 из 57 PASS, разница только во временах batch (WAVE19_D_REPORT.md:16, :178–182)";"«числа прежние» против 17-Г не выполнится: 22-Б законно сменил ячейку «KWN (модуль) | fe» — строк кинетики 2391 → 1123 (tools/backend_reference.md:238, коммит c1577ca). Ожидание: 57 из 57 PASS; разница — времена batch и эта ячейка. Либо база сверки — исходы регрессии 21-О"
6;реестр до слияния;состояния BL, строки задач;tasks/REGISTER.md;тексты мастера;входит в 13 мин;"BL-43, BL-66 — «закрывается 21-О (сдано, мастер не смотрел)»: до выпуска приёмка 21-О; строку 21-П («в работе») обновить, строки 21-Р нет — внести"
7;слияние, тег, пуш;"merge --no-ff ветки выпуска; git diff --stat -- databases пусто; tag -a v0.5.0; push main --tags; ls-remote";git;санкция (в тексте задания);18 с (WAVE19_D_REPORT.md:17);databases/ после v0.4.4 менялся законно: overrides.json (a1bc57c, 21-Ж2). Проверку «пусто» вести от точки ветвления ветки выпуска, не от v0.4.4
8а;runtime;"runtime-clean-3119 из D:\Pets\_archive\ThermoGar.zip во временную папку; сверка с payload-manifest установленной версии";python zipfile (unzip Git Bash не годится — WAVE19_D_REPORT.md, отступление 11);нет;внутри 7,5 мин шага 8;сверять с манифестом установленной 0.4.4 (15 079 файлов нагрузки, из них 15 003 в runtime/), а не 0.4.3
8б;снимок и сборка;"git -c core.autocrlf=false archive v0.5.0; build_installer.ps1 -RepoRoot -RuntimeSource -OutputDir";"packaging/build_installer.ps1:57–64 (номер из product-version.json), :117; packaging/stage_payload.ps1:50–77";нет;"7,5 мин, сборка 430,8 с; 82 файла снимка, project files staged 77, 118 504 100 байт (WAVE19_D_REPORT.md:18, :204–220)";"+1 модуль app/thermogar_user_errors.py (21-Ж): ожидание — 83 файла снимка, staged 78, файлов тега в установке 77 (tools/test_version_consistency.py:95 ждёт 77); папка dist\release-0.5.0"
