№,файл:строка,вид,где на экране,сегодня (дословно),находка (слово),класс слова,предлагается (дословно),новое / уже есть на экране (с адресом),почему (код правила)
1,app/ThermoGar_app.py:6832,подпись,боковая панель → под заголовком,ThermoGar 0.4.4 — исследовательское ПО. Экспериментальная квалификация: NOT_PERFORMED.,NOT_PERFORMED; ПО,программист,ThermoGar 0.4.4 — исследовательское ПО. Экспериментальная квалификация не проводилась.,"уже есть: «исследовательское ПО» (ThermoGar_app.py:6832), «не проводилась» (thermogar_database_guard.py:578, thermogar_diffusion.py:941). Новых слов нет",W-1: код статуса NOT_PERFORMED — словарь программиста
2,app/ThermoGar_app.py:6961,подпись,боковая панель → под выбором базы (только сталь),Fe-база thermogar_patch · C15_LAVES исключена,Fe-база; thermogar_patch,программист,Стальная база: фаза C15_LAVES исключена из расчёта.,"уже есть: «Стальная база», «исключена из расчёта» (ThermoGar_app.py:11911). Новых слов нет",W-1: имя профиля thermogar_patch — внутреннее имя
3,"app/ThermoGar_app.py:2930, app/ThermoGar_app.py:2931, app/ThermoGar_app.py:2933",подпись,боковая панель → под выбором базы,"mc_ni 2.036 · E. Povoden-Karadeniz, TU Wien · ODbL-1.0 / DbCL-1.0 (так же mc_al 2.037, mc_fe 2.062 с A. Jacob)",TU Wien; ODbL-1.0; DbCL-1.0; имена авторов,чужое обоим (имена собственные),без изменений,уже есть: текст на экране. Новых слов нет,"W-1, исключение: имена авторов, учреждения и лицензий — имена собственные, как Kawin и pycalphad; атрибуцию требует лицензия ODbL"
4,"app/ThermoGar_app.py:2939, app/ThermoGar_app.py:2940",markdown,боковая панель → «Лицензии базы данных»,ODbL-1.0 — права на базу как на набор данных / DbCL-1.0 — права на содержимое базы,ODbL-1.0; DbCL-1.0,чужое обоим (имена собственные),без изменений,уже есть: текст на экране. Новых слов нет,"W-1, исключение: имя лицензии — имя собственное"
5,app/ThermoGar_app.py:2962,сообщение,боковая панель → «Лицензии базы данных» → под названием лицензии,"st.code(str(path)) — полный путь к файлу лицензии, например …\licenses\ODbL-1.0.txt",путь к файлу,программист,путь не выводить: достаточно подписи выше «Полные тексты лежат в поставке рядом с программой — сеть для их чтения не нужна.»; путь — в «Технические сведения»,"уже есть: подпись (ThermoGar_app.py:2956), «Технические сведения» (thermogar_stage14.py:409). Новых слов нет",W-1: путь к файлу; решение владельца 24.09.2026: технические подробности — в «Технические сведения»
6,app/ThermoGar_app.py:2967,сообщение,боковая панель → «Лицензии базы данных» (файла нет),Файл лицензии не найден: {relative_path}. Поставка неполна — сообщите разработчику.,путь {relative_path},программист,Файл лицензии не найден: поставка неполна — сообщите разработчику.,"уже есть: «Файл лицензии не найден», «Поставка неполна — сообщите разработчику» (ThermoGar_app.py:2966). Новых слов нет",W-1: путь к файлу; решение владельца 24.09.2026: технические подробности — в «Технические сведения»
7,"app/thermogar_parallel_ui.py:134, app/thermogar_parallel_ui.py:136, app/thermogar_parallel_ui.py:138, app/thermogar_parallel_ui.py:205",вариант выбора,боковая панель → «Параллельный расчёт» → «авто (…)»; подпись «Параллельный расчёт: …» под результатами,авто ({n} воркер / воркера / воркеров); Параллельный расчёт: {n} воркеров.,воркер,программист,авто ({n} расчёта одновременно); Параллельный расчёт: {n} расчётов одновременно.,"уже есть: «Параллельный расчёт» (ThermoGar_app.py:2991), «одновременно» (thermogar_diffusion.py:385). Новое: «{n} расчётов одновременно»",W-1: «воркер» — словарь программиста
8,app/thermogar_parallel_ui.py:166,подпись,боковая панель → под «Параллельный расчёт»,"Сканы, карта, плотность по температуре и пакетный расчёт считают точки в пуле процессов. Число воркеров выбрано по свободной памяти; числа в обоих режимах одинаковы.",пул процессов; воркеров,программист,"Сканы, карта, плотность по температуре и пакетный расчёт считают несколько точек одновременно. Их число выбрано по свободной памяти; числа в обоих режимах одинаковы.","уже есть: всё, кроме замены. Новое: «считают несколько точек одновременно»","W-1: «пул процессов», «воркер» — словарь программиста"
9,app/thermogar_parallel_ui.py:172,подпись,боковая панель → под «Параллельный расчёт»,Свободной памяти хватает только на один процесс — точки считаются последовательно.,процесс,программист,Свободной памяти хватает только на один расчёт — точки считаются последовательно.,"уже есть: всё, кроме замены. Новое: «только на один расчёт»",W-1: «процесс» — словарь программиста
10,app/thermogar_parallel_ui.py:201,подпись,"Расчёты, Диаграммы, Свойства → под результатом → «Параллельный расчёт: …»",Пул процессов отказал ({self.fallback_reason}); оставшиеся точки досчитаны последовательно.,пул процессов; текст причины {fallback_reason},программист,Параллельный расчёт прерван; оставшиеся точки досчитаны последовательно.,"уже есть: «Параллельный расчёт», «оставшиеся точки досчитаны последовательно» (thermogar_parallel_ui.py:201). Новое: «Параллельный расчёт прерван»",W-1: «пул процессов»; решение владельца 24.09.2026: технические подробности — в «Технические сведения» (причина)
11,app/thermogar_parallel_ui.py:206,подпись,"Расчёты, Диаграммы, Свойства → под результатом → «Параллельный расчёт: …»",Последовательный расчёт в одном процессе.,процесс,программист,Последовательный расчёт.,уже есть: «Последовательный расчёт» (thermogar_parallel_ui.py:206). Новых слов нет,W-1: «процесс»
12,app/ThermoGar_app.py:7152,сообщение,"боковая панель → предупреждение «Открыт …» (подстановка, если у записи нет названия)",загруженный контекст,контекст,программист,загруженные настройки,"новое: «загруженные настройки» (то же, что А7 21-В, на «да» владельца)",W-1: «контекст» — внутреннее слово; место — А9 21-В
13,app/ThermoGar_app.py:11828,подпись,Проекты и данные → Паспорт базы → под заголовком,"Паспорт показывает точный файл, профиль, контрольную сумму и известные ограничения, влияющие на интерпретацию результата.",профиль; контрольная сумма,программист,"Паспорт показывает файл базы и известные ограничения, влияющие на интерпретацию результата.","уже есть: «Файл базы» (thermogar_parallel.py:214), остальное — в сегодняшнем тексте. Новых слов нет",W-1; решение владельца 24.09.2026: технические подробности — в «Технические сведения» (контрольная сумма)
14,app/ThermoGar_app.py:11833,сообщение,Проекты и данные → Паспорт базы (Ni и Al),Отдельный профиль базы ведётся только для открытой стальной базы mc_fe 2.062.,профиль,программист,Поправка проекта ThermoGar есть только у стальной базы mc_fe 2.062.,"уже есть: «Поправка проекта» (ThermoGar_app.py:1301), «стальной базы mc_fe 2.062» (ThermoGar_app.py:11833). Новых слов нет",W-1: «профиль» — внутреннее слово; на экране правка базы уже называется поправкой проекта
15,"app/ThermoGar_app.py:11840, app/ThermoGar_app.py:11841",столбец,Проекты и данные → Паспорт базы (Ni и Al) → таблица,строки таблицы «Файл» (полный путь) и «SHA-256»,путь; SHA-256,программист,строки «Файл» и «SHA-256» — в свёрнутый блок «Технические сведения» под таблицей; в таблице — «База» и «Исключённые из расчёта фазы»,уже есть: «Технические сведения» (thermogar_stage14.py:409). Новых слов нет,W-1; решение владельца 24.09.2026: технические подробности — в «Технические сведения»; так же решено для Г5 21-В
16,app/ThermoGar_app.py:11851,подпись,Проекты и данные → Паспорт базы (сталь),Steel/Fe · thermogar_patch · C15_LAVES исключена · экспериментальная квалификация: NOT_PERFORMED,Steel/Fe; thermogar_patch; NOT_PERFORMED,программист,Стальная база mc_fe 2.062 · фаза C15_LAVES исключена из расчёта · экспериментальная квалификация не проводилась,"уже есть: «Стальная база», «исключена из расчёта» (ThermoGar_app.py:11911), «не проводилась» (thermogar_database_guard.py:578). Новых слов нет","W-1: английское имя базы, имя профиля и код статуса"
17,"app/thermogar_database_guard.py:547, app/thermogar_database_guard.py:39",столбец,"Проекты и данные → Паспорт базы (сталь) → таблица, строка «Выбранный профиль»","Выбранный профиль | mc_fe 2.062, профиль thermogar_patch (патч TG-FE-2062-C15-001, C15_LAVES исключена)",профиль; thermogar_patch; патч; TG-FE-2062-C15-001,программист,База | Стали и Fe-сплавы — mc_fe 2.062,"уже есть: «Стали и Fe-сплавы — mc_fe 2.062» (подпись базы, ThermoGar_app.py:292). Новых слов нет","W-1: «профиль», «патч», код правки — внутренние слова; поправка — в строке ниже"
18,app/thermogar_database_guard.py:557,столбец,"Проекты и данные → Паспорт базы (сталь) → таблица, строка «Патч»",Патч | TG-FE-2062-C15-001,патч; код TG-FE-2062-C15-001,программист,Поправка проекта | фаза C15_LAVES исключена из расчёта; код поправки TG-FE-2062-C15-001 — в «Технические сведения»,"уже есть: «Поправка проекта» (ThermoGar_app.py:1301), «исключена из расчёта». Новых слов нет",W-1: «патч»; решение владельца 24.09.2026: технические подробности — в «Технические сведения»
19,app/thermogar_database_guard.py:558,столбец,"Проекты и данные → Паспорт базы (сталь) → таблица, строка «Статус патча»",Статус патча | pending_upstream_confirmation (значение из паспорта databases/converted/fe/*.json),патч; pending_upstream_confirmation,программист,Статус поправки | ждёт подтверждения автора базы,"новое: «Статус поправки», «ждёт подтверждения автора базы»",W-1: английский служебный код
