ключ,значение,известен этой версии,куда применяется
theme.baseFontSize,18,"известен (streamlit 1.62.0, config._config_options_template)","[theme] — основа; ключи, не заданные в [theme.light]/[theme.dark], берутся отсюда (описание опций 1.62: «Unset sections inherit from [theme]»)"
theme.headingFontSizes,"31px, 22px, 22px, 18px, 18px, 18px","известен (streamlit 1.62.0, config._config_options_template)","[theme] — основа; ключи, не заданные в [theme.light]/[theme.dark], берутся отсюда (описание опций 1.62: «Unset sections inherit from [theme]»)"
theme.chartCategoricalColors,"#0D2768, #4587DE, #000000, #D55E00, #009E73, #CC79A7, #0072B2","известен (streamlit 1.62.0, config._config_options_template)","[theme] — основа; ключи, не заданные в [theme.light]/[theme.dark], берутся отсюда (описание опций 1.62: «Unset sections inherit from [theme]»)"
theme.chartSequentialColors,"#00224E, #123570, #3B496C, #575D6D, #707173, #8A8678, #A59C74, #C3B369, #E1CC55, #FEE838","известен (streamlit 1.62.0, config._config_options_template)","[theme] — основа; ключи, не заданные в [theme.light]/[theme.dark], берутся отсюда (описание опций 1.62: «Unset sections inherit from [theme]»)"
theme.showSidebarBorder,True,"известен (streamlit 1.62.0, config._config_options_template)","[theme] — основа; ключи, не заданные в [theme.light]/[theme.dark], берутся отсюда (описание опций 1.62: «Unset sections inherit from [theme]»)"
theme.light.primaryColor,#1F60C1,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.backgroundColor,#FFFFFF,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.secondaryBackgroundColor,#F1EFEA,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.textColor,#2A2722,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.linkColor,#133B8B,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.borderColor,#D8D4CC,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.dataframeBorderColor,#D8D4CC,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
theme.light.codeBackgroundColor,#F1EFEA,"известен (streamlit 1.62.0, config._config_options_template)","[theme.light] — отдельное сообщение custom_theme.light (runtime/app_session.py:854), применяется в светлом режиме"
