№;раздел экрана;что было в 0.4.4;что стало;меняет ли числа результата;задание и BL;источник
1;внутреннее;—;"отчёт выпуска 0.4.4, строка 19-Д и строка «Выпуск 0.4.4» в реестре, результаты приёмки results/wave19_d; ls-remote и время конца в отчёт";нет;19-Д;"7add250, 31f2f17; REGISTER.md:966, 968; WAVE19_D_REPORT.md:1–4"
2;внутреннее;—;реестр и правила после выпуска 0.4.4: заведены BL-60 (байткод пула в app/__pycache__) и BL-61 (пример версии в build_installer.ps1), «Ошибка мастера (19-В2)», правило состава поставки в tasks/RULES.md;нет;19-Е, BL-60, BL-61;"c6e26a3, 5ed5d88; REGISTER.md:320–321, 984–986; WAVE19_E_REPORT.md:5"
3;внутреннее;—;"инструменты эталона вкладок tools/tab_snapshot.py и tools/tab_snapshot_compare.py; эталон 130 случаев (А 59, Б 26, В 24, Г 21), три прогона 76,1 / 65,7 / 63,4 мин, results/wave20_a/etalon_run1.zip";нет;20-А, BL-57 (шаг 0);"0388d2e; REGISTER.md:994, 997"
4;внутреннее;—;статический аудит дизайна по коду: 40 находок, по 24 нужно решение владельца (tasks/DESIGN_AUDIT_21_A.md);нет;21-А;"5948b27; REGISTER.md:1005"
5;внутреннее;—;"tab_snapshot_compare: различие только в концах строк теперь «различаются»; новый тест test_tab_snapshot_compare (8); повторная сверка эталона 20-А — полное равенство";нет;20-Б;"8ac21f5, 2bf8315, e6b0380, 4a3d3e9; REGISTER.md:995"
6;внутреннее;—;проект текстов экрана к находкам 21-А (tasks/TEKSTY_21_V.md), разметка 82 мест с текстом исключений;нет;21-В;"f909085; REGISTER.md:1007, 1024"
7;внутреннее;—;"аудит дизайна по снимкам, светлая и тёмная тема: 36 состояний, 88 кадров, замеры контраста (tasks/DESIGN_AUDIT_21_B.md); найдены BL-63, дробные деления оси °C, легенда в тёмной теме";нет;21-Б;"bc21c24; REGISTER.md:1006, 1026"
8;внутреннее;—;опись латиницы и служебных слов на экране (131 строка, 222 места), единый список текстов на утверждение tasks/NA_UTVERZHDENIE_21.md (96 + 118 + 31);нет;21-Г;"79f3abf; REGISTER.md:1008, 1028"
9;весь экран → боковая панель, поле «Добавки»;неверная строка «Добавок» (нет элемента в базе, неверный формат, элемент дважды, основа в добавках, доля ≤ 0, сумма ≥ 100 %) роняла страницу: Traceback с путями к файлам, вкладки пропадали;"одно сообщение об ошибке в главной области, Traceback нет, боковая панель на месте, вкладок нет; после исправления ввода 7 вкладок возвращаются. Текст сообщения на 976e707 — после 21-Ж: заголовок «Состав не принят.», например «Элемента Qq нет в базе «Никелевые сплавы — mc_ni 2.036».»";нет;21-Д, BL-63;"76aeb42; REGISTER.md:323, 1009, 1030; WAVE21_D_REPORT.md:17–34; WAVE21_Z_REPORT.md:125"
10;Диаграммы → Бинарная T–X (ось температуры, экран и PNG);деления на круглых K, подписи в °C дробные: 726.85, 926.85 … 1526.85;деления на круглых °C (шаг 1/2/5/10), подписи целые: 600, 800 … 1600;"нет: меняются только места делений и подписи оси; данные, пределы оси и таблица границ в K (WAVE21_D_REPORT.md:54)";21-Д (находка 21-Б);"76aeb42; REGISTER.md:1009, 1030; WAVE21_D_REPORT.md:36–56"
11;Диаграммы → Многокомпонентное T–X (ось температуры, экран и PNG);подписи 926.85, 1026.85 … 1426.85;подписи целые: 900, 1000 … 1500;"нет: только подписи оси; данные и выгрузки в K (WAVE21_D_REPORT.md:54)";21-Д;"76aeb42; REGISTER.md:1030; WAVE21_D_REPORT.md:43, 52"
12;10 графиков с легендой (Расчёты, Диаграммы, Затвердевание, Энергии), тёмная тема, экран и PNG;в тёмной теме легенда — светлая плашка со светлым текстом, 1.16:1, не читается;"плашка и рамка по ролям темы, текст — роль axis: 9.15:1 (по пикселям 9.00 и 9.19:1); позже 21-Е сменила роли на новую палитру";нет;21-Д;"76aeb42; REGISTER.md:1009, 1030; WAVE21_D_REPORT.md:58–85"
13;внутреннее;—;3 новых теста (test_sidebar_composition_error 9, test_chart_celsius_ticks 17, test_chart_legend_theme 12), кадры и замеры results/wave21_d, строки реестра 21-Б, 21-Д, BL-63;нет;21-Д;"76aeb42; WAVE21_D_REPORT.md:117–167"
14;весь экран → светлая тема (.streamlit/config.toml);тёплая палитра: окно #FFFFFF, боковая панель и заливка полей #F1EFEA, текст #2A2722, рамки блоков #D8D4CC;"холодная шкала (оттенок 216°): окно #F8F8F9, панель и поля #ECEDEF, текст #232529, рамки #CFD1D5, фон кода #FFFFFF; акцент #1F60C1 прежний";нет;"21-Е, решение владельца 24.09.2026 (палитра, А-8; синий оставлен)";"0dee4bb; REGISTER.md:1010, 1032, 1040; WAVE21_E_REPORT.md:25, 120–133"
