строка;было;стало;основание;пометка
app/ThermoGar_app.py:12268–12270;1. В боковой панели выберите **базу материалов**: Ni, Al или Steel/Fe. Steel использует только канонический исправленный профиль `thermogar_patch`.;1. В боковой панели выберите **базу материалов**: «Никелевые сплавы — mc_ni 2.036», «Стали и Fe-сплавы — mc_fe 2.062» или «Алюминиевые сплавы — mc_al 2.037». У стальной базы в боковой панели — подпись «Стальная база: фаза C15_LAVES исключена из расчёта.»;"опись 21-Ц №1 (:12268–12269); app/ThermoGar_app.py:338, :352, :369 (названия баз), :7140 («База материалов»), :7261 (подпись стальной базы)";"название дословно по коду; вторая фраза — новая формулировка — на проверку мастера"
app/ThermoGar_app.py:12277–12279;6. Результат каждого раздела выгружается кнопками под таблицей и графиком: Excel везде, CSV и PNG — там, где есть скан или график.;6. Результат каждого раздела выгружается кнопками под таблицей и графиком: Excel везде, CSV и PNG — там, где есть скан или график. В «Затвердевании» кнопки — на варианте «Выгрузка» переключателя, в «Выделениях» — на варианте «Экспорт и ограничения».;"опись 21-Ц №2 (:12276–12277); app/ThermoGar_app.py:11092–11098; app/thermogar_precipitation.py:1840–1842";шаблон: вариант переключателя
app/ThermoGar_app.py:12285;| **Одна температура** |;| **Расчёты → Одна температура** |;"опись 21-Ц №3 (:12283–12285); app/ThermoGar_app.py:7494, :7505–7509";название дословно по коду (как «Диаграммы → …» в той же таблице)
app/ThermoGar_app.py:12286;| **По температуре** |;| **Расчёты → Температурный диапазон** |;"опись 21-Ц №3 (:12283–12285); app/ThermoGar_app.py:7494, :7505–7509";название дословно по коду (как «Диаграммы → …» в той же таблице)
app/ThermoGar_app.py:12287;| **По составу** |;| **Расчёты → Изменение состава** |;"опись 21-Ц №3 (:12283–12285); app/ThermoGar_app.py:7494, :7505–7509";название дословно по коду (как «Диаграммы → …» в той же таблице)
app/ThermoGar_app.py:12308–12317;В каждом расчётном разделе есть блок **«Управление фазами / метастабильный расчёт»**. - **Автоматически** — учитываются все совместимые фазы базы. - **Вручную** — можно снять галку с фазы.;Во многих расчётных разделах есть свёрнутый блок **«Управление фазами / метастабильный расчёт»**: раскройте его. В «Расчётах», «Диаграммах» и «Затвердевании» в нём — переключатель «Какие фазы учитывать»: - **«Автоматически — все совместимые фазы»** — учитываются все совместимые фазы базы. - **«Вручную — поставить или снять галочки»** — можно снять галку с фазы. В «Плотности», «Плотности по T» и «Упругих свойствах» вместо переключателя — галочка «Выбрать фазы вручную», в «Движущей силе» — список «Фазы исходного равновесия». В «Кинетике» блока нет.;"опись 21-Ц №4 (:12306–12309); app/thermogar_release_ui.py:52; app/ThermoGar_app.py:2962, :3026–3029 (переключатель), :1585–1589 (галочка), :11642, :11663 (движущая сила); вызовы — :7549, :7886, :8264, :8686, :9111, :9584, :10004, :10666, :1767, :1935, :2249";новая формулировка — на проверку мастера
app/ThermoGar_app.py:12336–12337;4. Для первого запуска оставьте шаг 2,5–5 ат.%.;4. Для первого запуска оставьте шаг 2,5–5 ат.%. «Шаг поиска границ, ат.% (0.5–10)» — в свёрнутом блоке «Точность и критерии»: раскройте его.;"опись 21-Ц №5 (:12328); app/ThermoGar_app.py:9516–9518";шаблон: поле в свёрнутом блоке
app/ThermoGar_app.py:12338–12341;5. Оставьте автоматический выбор фаз и нажмите **Построить тройную диаграмму**.;5. Оставьте автоматический выбор фаз и нажмите **Построить тройную диаграмму**. Строка с кнопкой расчёта держится у нижнего края окна, пока форма не прокручена до её места. Над кнопкой — подпись «Не по умолчанию: …»: она перечисляет поля свёрнутых блоков, которые вы изменили.;"опись 21-Ц №5 (:12329); app/ThermoGar_app.py:9610–9612; app/thermogar_release_ui.py:54, :111–117";шаблон: строка кнопки (один раз на документ)
app/ThermoGar_app.py:12342–12344;6. При необходимости включите линии связи, точки трёхфазного равновесия или исключите отдельные фазы.;6. При необходимости включите линии связи, точки трёхфазного равновесия или исключите отдельные фазы. «Показывать линии связи в двухфазных областях» и «Показывать точки трёхфазного равновесия» — в свёрнутом блоке «Точность и критерии»: раскройте его.;"опись 21-Ц №5 (:12330); app/ThermoGar_app.py:9516, :9534, :9556";шаблон: поле в свёрнутом блоке
app/ThermoGar_app.py:12386–12387;4. Для Al-сплавов начните с шага 5–10 °C, для Ni-сплавов — с 10–20 °C.;4. Для Al-сплавов начните с шага 5–10 °C, для Ni-сплавов — с 10–20 °C. «Шаг охлаждения, °C» — в свёрнутом блоке «Точность и критерии»: раскройте его.;"опись 21-Ц №6 (:12370–12372); app/ThermoGar_app.py:10500, :10507";шаблон: поле в свёрнутом блоке
app/ThermoGar_app.py:12389–12390;"6. В сводке сравните ликвидус и температуру окончания; в разделе твёрдых фаз — последовательность выделения; в разделе расплава — микросегрегацию.";"6. На варианте «Сводка» переключателя сравните ликвидус и температуру окончания; на варианте «Твёрдые фазы» — последовательность выделения; на варианте «Остаточный расплав» — микросегрегацию.";"опись 21-Ц №7 (:12374); app/ThermoGar_app.py:11092–11098";шаблон: вариант переключателя
app/ThermoGar_app.py:12400–12402;3. Для каждой фазы задайте `E`, `ν`, происхождение и источник. 4. Нажмите **Рассчитать Voigt–Reuss–Hill**.;3. Для каждой фазы задайте `E`, `ν`, происхождение, источник и температуру источника. 4. Нажмите **Рассчитать Voigt–Reuss–Hill**. Пока таблица неполна, кнопка «Рассчитать Voigt–Reuss–Hill» неактивна, под ней сказано, что заполнить.;"опись 21-Ц №8 (:12384–12385); app/ThermoGar_app.py:2391–2403; app/thermogar_properties.py:1185–1189 (столбцы), :1269–1284 (причины)";"шаблон: неактивная кнопка; «и температуру источника» — новая формулировка — на проверку мастера"
